Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
ChiefsChiefs,415,1557,3.8,10,80,19.3
BillsBills,407,1370,3.4,9,73,17.9
JaguarsJaguars,373,1444,3.9,6,72,19.3
BuccaneersBuccaneers,361,1407,3.9,8,75,20.8
SteelersSteelers,451,1958,4.3,10,92,20.4
CowboysCowboys,417,1442,3.5,6,81,19.4
RaidersRaiders,398,1559,3.9,10,85,21.4
JetsJets,430,1703,4.0,16,97,22.6
BroncosBroncos,440,1737,4.0,15,88,20.0
RedskinsRedskins,439,1973,4.5,16,107,24.4
SaintsSaints,432,1774,4.1,15,105,24.3
TitansTitans,383,1550,4.0,8,81,21.2
DolphinsDolphins,413,1476,3.6,6,79,19.1
BengalsBengals,454,1699,3.7,22,99,21.8
RavensRavens,392,1231,3.1,6,70,17.9
RamsRams,338,1189,3.5,4,53,15.7
GiantsGiants,447,1560,3.5,13,81,18.1
PatriotsPatriots,486,1795,3.7,6,106,21.8
EaglesEagles,519,2001,3.9,12,125,24.1
VikingsVikings,413,1617,3.9,9,83,20.1
ColtsColts,406,1715,4.2,12,92,22.7
49ers49ers,426,1619,3.8,11,91,21.4
ChargersChargers,432,1321,3.1,8,77,17.8
SeahawksSeahawks,484,1934,4.0,9,107,22.1
BearsBears,438,1882,4.3,11,89,20.3
CardinalsCardinals,542,2265,4.2,17,128,23.6
PackersPackers,472,1804,3.8,16,103,21.8
FalconsFalcons,487,2072,4.2,18,111,22.8
PanthersPanthers,450,1898,4.2,13,115,25.6
LionsLions,393,1531,3.9,12,87,22.1
BrownsBrowns,610,2736,4.5,29,161,26.4
