Team,INT,INT TD,INT Yds,Lng
BearsBears,31,1,268,45T
BuccaneersBuccaneers,25,3,487,65T
SteelersSteelers,24,1,385,59
GiantsGiants,23,2,116,40T
VikingsVikings,22,2,358,73T
OilersOilers,21,1,295,47
RedskinsRedskins,21,2,271,61T
ChiefsChiefs,20,1,250,40T
DolphinsDolphins,19,2,288,42
EaglesEagles,19,3,271,42
ChargersChargers,19,0,188,67
BillsBills,18,2,151,60
JetsJets,18,0,205,39
FalconsFalcons,17,3,237,82
LionsLions,17,1,273,48
49ers49ers,17,0,171,28
PackersPackers,16,1,154,32T
CardinalsCardinals,16,2,274,47
BengalsBengals,15,1,146,29T
PatriotsPatriots,14,0,194,73
BrownsBrowns,13,1,212,64T
RaidersRaiders,13,1,102,31T
RamsRams,12,1,105,44T
SeahawksSeahawks,12,0,182,47
CowboysCowboys,11,1,126,64T
BroncosBroncos,10,1,190,49T
ColtsColts,9,1,173,40T
SaintsSaints,8,1,158,50T
