Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
CardinalsCardinals,222,73,9,4,107,21.2,1041
ColtsColts,197,75,7,3,102,23.8,995
LionsLions,208,76,6,5,107,25.5,998
PatriotsPatriots,205,82,23,9,100,24.1,1046
SteelersSteelers,206,73,11,8,78,20.0,951
EaglesEagles,203,83,10,2,108,22.6,994
TexansTexans,215,71,16,5,94,24.1,1015
RaidersRaiders,212,83,14,8,95,21.4,995
BearsBears,220,78,16,10,75,19.3,1021
BrownsBrowns,223,85,11,7,104,22.8,1095
RavensRavens,232,83,12,6,105,21.3,1086
BengalsBengals,219,79,12,5,99,23.4,1034
TitansTitans,214,85,14,6,122,25.3,1086
JetsJets,226,84,15,12,96,19.4,1019
ChargersChargers,214,90,10,4,85,20.9,1012
JaguarsJaguars,215,89,9,4,133,24.4,1100
BroncosBroncos,216,66,18,7,73,18.1,1015
PackersPackers,218,83,23,9,83,19.9,1033
CowboysCowboys,202,81,11,6,92,20.9,986
ChiefsChiefs,202,79,4,3,106,22.0,973
BuccaneersBuccaneers,219,88,14,6,75,19.9,1031
VikingsVikings,230,95,20,11,82,19.2,1083
RamsRams,213,80,16,6,107,24.2,1041
DolphinsDolphins,238,87,17,12,79,18.3,1073
SaintsSaints,208,80,19,10,116,25.4,1089
FalconsFalcons,200,81,13,6,99,24.1,991
PanthersPanthers,202,73,19,10,98,23.6,1010
SeahawksSeahawks,198,76,10,3,80,21.7,968
BillsBills,209,92,12,6,136,28.9,1042
NinersNiners,215,71,25,14,72,17.7,1012
GiantsGiants,198,84,21,10,104,23.2,1016
RedskinsRedskins,215,95,14,8,89,24.5,1031
