Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
PatriotsPatriots,3173,1210,278,136,184,62.4,68,16.9,999
EaglesEagles,3155,1053,298,91,141,50.0,86,20.1,1017
ChargersChargers,3118,1019,224,107,146,55.9,95,20.6,1063
GiantsGiants,3094,956,241,108,129,48.7,104,21.9,1016
JetsJets,3060,1418,215,122,207,65.1,99,19.8,1057
DolphinsDolphins,3058,1092,158,78,176,55.7,73,15.9,1028
BuccaneersBuccaneers,3055,1247,191,83,139,59.4,111,21.2,1000
RaidersRaiders,3034,953,174,80,156,55.3,89,19.8,1035
SteelersSteelers,3005,1174,195,38,135,49.3,106,21.6,1014
JaguarsJaguars,2996,1285,108,54,153,56.9,111,22.8,989
PackersPackers,2964,1346,175,65,210,58.2,93,20.8,1061
BillsBills,2957,1312,108,40,176,65.4,115,21.7,1033
ChiefsChiefs,2951,941,331,172,153,50.2,103,23.8,1012
CardinalsCardinals,2917,1024,238,134,179,54.9,98,21.8,1052
BengalsBengals,2913,989,375,144,148,48.2,92,22.7,979
BroncosBroncos,2856,1246,137,54,186,64.1,135,25.7,1041
49ers49ers,2855,1302,119,55,223,64.3,129,26.3,1100
RedskinsRedskins,2854,907,195,66,186,61.2,84,21.0,1027
OilersOilers,2826,1134,147,52,171,56.1,118,25.5,1016
BearsBears,2820,996,319,140,154,54.2,89,19.6,979
PanthersPanthers,2812,1042,270,131,171,58.6,68,16.8,966
RamsRams,2795,976,202,112,164,52.2,81,20.5,998
CowboysCowboys,2788,1031,159,107,154,55.2,125,25.0,992
VikingsVikings,2773,1426,40,40,210,64.2,98,21.8,1008
RavensRavens,2764,864,198,81,140,51.5,86,21.1,926
SaintsSaints,2716,970,213,75,165,59.4,67,17.9,966
LionsLions,2677,906,254,127,160,58.4,94,21.3,975
FalconsFalcons,2629,1098,39,13,175,73.8,111,21.5,993
ColtsColts,2541,897,127,51,190,58.3,77,20.0,982
SeahawksSeahawks,2523,698,220,76,144,52.8,92,21.6,940
