Team,Rsh TD,Rec TD,Tot TD,2-PT
49ers49ers,23,28,54,2
RavensRavens,21,37,60,2
TitansTitans,21,29,52,1
PanthersPanthers,20,17,37,1
RamsRams,20,22,44,1
VikingsVikings,19,26,46,1
CowboysCowboys,18,30,48,2
PackersPackers,18,26,44,3
CardinalsCardinals,18,20,38,3
TexansTexans,17,27,46,1
ColtsColts,17,22,42,2
PatriotsPatriots,17,25,47,2
ChiefsChiefs,16,30,48,1
EaglesEagles,16,27,44,4
BrownsBrowns,15,22,38,1
SeahawksSeahawks,15,31,48,1
BuccaneersBuccaneers,15,33,50,5
BillsBills,13,21,35,3
RaidersRaiders,13,22,37,0
SaintsSaints,12,36,51,0
ChargersChargers,12,24,37,1
BroncosBroncos,11,16,27,1
GiantsGiants,11,30,43,2
FalconsFalcons,10,29,41,2
DolphinsDolphins,10,22,34,1
BengalsBengals,9,18,28,2
RedskinsRedskins,9,18,28,1
BearsBears,8,20,30,1
LionsLions,7,28,37,0
SteelersSteelers,7,18,27,0
JetsJets,6,19,29,3
JaguarsJaguars,3,24,28,4
