Team,Rsh TD,Rec TD,Tot TD,2-PT
49ers49ers,22,29,53,0
CowboysCowboys,20,23,47,0
GiantsGiants,20,14,36,0
VikingsVikings,19,18,43,0
EaglesEagles,19,20,43,0
BillsBills,18,23,43,0
ChargersChargers,18,16,36,0
BearsBears,15,17,33,0
ChiefsChiefs,14,15,38,0
SteelersSteelers,13,15,30,0
RamsRams,12,23,38,0
BuccaneersBuccaneers,12,17,30,0
BengalsBengals,11,16,29,0
BroncosBroncos,11,16,28,0
CardinalsCardinals,11,15,29,0
OilersOilers,10,27,38,0
SaintsSaints,10,19,32,0
RedskinsRedskins,10,15,29,0
LionsLions,9,16,29,0
DolphinsDolphins,9,24,36,0
ColtsColts,8,13,24,0
JetsJets,8,12,23,0
BrownsBrowns,7,18,27,0
PackersPackers,7,20,29,0
RaidersRaiders,7,20,29,0
PatriotsPatriots,6,13,23,0
SeahawksSeahawks,4,9,13,0
FalconsFalcons,3,33,38,0
