Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
BillsBills,471,2063,4.4,10,98,20.8
SeahawksSeahawks,422,1626,3.8,4,83,19.7
NinersNiners,397,1535,3.9,11,77,19.4
EaglesEagles,443,1668,3.8,12,100,22.6
JetsJets,421,1412,3.4,9,68,16.2
ChargersChargers,376,1725,4.6,14,98,26.1
PanthersPanthers,352,1391,4.0,4,70,19.9
BengalsBengals,385,1544,4.0,6,72,18.7
PatriotsPatriots,481,2145,4.5,11,110,22.9
TitansTitans,446,1795,4.0,21,108,24.2
BroncosBroncos,420,1626,3.9,15,90,21.4
PackersPackers,432,2000,4.6,16,116,26.8
RedskinsRedskins,443,1769,4.0,23,102,23.0
LionsLions,377,1596,4.2,10,62,16.4
ChiefsChiefs,428,1923,4.5,9,88,20.6
RaidersRaiders,442,1727,3.9,15,100,22.6
RamsRams,440,1646,3.7,18,87,19.8
RavensRavens,440,1687,3.8,7,79,18.0
VikingsVikings,443,1767,4.0,14,101,22.8
CardinalsCardinals,370,1351,3.6,5,68,18.4
BuccaneersBuccaneers,438,1762,4.0,10,95,21.7
TexansTexans,454,1958,4.3,11,88,19.4
ColtsColts,448,2002,4.5,14,101,22.5
BearsBears,483,2583,5.4,22,147,30.4
SteelersSteelers,433,1849,4.3,18,106,24.5
SaintsSaints,387,1786,4.6,11,82,21.2
GiantsGiants,454,1743,3.8,12,101,22.2
JaguarsJaguars,507,2108,4.2,20,121,23.9
DolphinsDolphins,484,1998,4.1,14,114,23.6
BrownsBrowns,462,1781,3.8,13,103,22.3
CowboysCowboys,437,2056,4.7,17,122,27.9
FalconsFalcons,455,2173,4.8,14,102,22.4
