Team,FR TD,SFTY,INT TD
SeahawksSeahawks,3,0,0
FalconsFalcons,2,0,1
JaguarsJaguars,2,0,1
ChiefsChiefs,2,1,4
RamsRams,2,1,1
PatriotsPatriots,2,0,0
GiantsGiants,2,1,2
CardinalsCardinals,2,2,4
BuccaneersBuccaneers,2,0,1
RavensRavens,1,0,1
BillsBills,1,0,2
BroncosBroncos,1,1,4
LionsLions,1,0,1
TitansTitans,1,0,1
TexansTexans,1,0,2
ColtsColts,1,1,4
VikingsVikings,1,0,2
SaintsSaints,1,0,0
EaglesEagles,1,1,3
RedskinsRedskins,1,1,1
PanthersPanthers,0,0,4
BearsBears,0,0,0
BengalsBengals,0,0,1
BrownsBrowns,0,0,2
CowboysCowboys,0,1,1
PackersPackers,0,0,2
RaidersRaiders,0,2,1
DolphinsDolphins,0,0,3
JetsJets,0,0,0
SteelersSteelers,0,0,2
ChargersChargers,0,0,1
NinersNiners,0,0,1
