Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
CardinalsCardinals,670,419,62.5,7.0,4723,21,21,81.0,224,33.4,63,12,63,45,286
PackersPackers,626,383,61.2,6.3,3964,20,30,70.1,206,32.9,40,7,59T,27,198
EaglesEagles,620,337,54.4,6.3,3903,21,20,71.5,182,29.4,49,8,91,42,226
RamsRams,599,392,65.4,7.3,4351,23,24,83.0,209,34.9,41,8,83,46,315
TitansTitans,594,358,60.3,6.4,3797,20,14,80.4,191,32.2,34,8,57,31,200
RaidersRaiders,591,316,53.5,6.6,3883,21,14,76.0,189,32.0,50,6,79T,45,301
PatriotsPatriots,564,352,62.4,7.7,4322,28,15,91.5,204,36.2,62,9,71,28,202
RavensRavens,562,335,59.6,6.0,3381,17,21,71.3,163,29.0,39,2,48T,42,293
GiantsGiants,558,294,52.7,6.7,3762,24,17,75.7,172,30.8,49,8,78T,28,184
DolphinsDolphins,556,291,52.3,6.2,3458,22,16,72.8,159,28.6,44,11,77,26,158
SaintsSaints,553,308,55.7,6.5,3604,15,24,66.6,182,32.9,47,5,66,41,261
BengalsBengals,538,362,67.3,7.3,3935,32,14,97.6,203,37.7,43,9,70T,21,115
ChargersChargers,526,338,64.3,7.1,3738,27,16,89.7,191,36.3,48,4,54,31,243
LionsLions,520,297,57.1,5.8,3021,15,18,69.1,151,29.0,35,8,86,31,173
ColtsColts,515,347,67.4,8.1,4191,31,11,103.3,217,42.1,49,7,80T,20,95
VikingsVikings,510,323,63.3,6.8,3449,18,16,81.7,169,33.1,31,8,80T,54,303
ChiefsChiefs,507,317,62.5,7.9,4014,17,10,90.1,182,35.9,51,11,60T,32,204
CowboysCowboys,500,300,60.0,7.3,3639,23,17,83.6,177,35.4,42,9,71,50,298
BrownsBrowns,497,297,59.8,6.7,3323,15,17,75.6,149,30.0,38,8,80,46,276
JaguarsJaguars,487,283,58.1,6.9,3352,21,6,88.4,170,34.9,43,5,45T,32,162
BuccaneersBuccaneers,487,303,62.2,6.5,3171,17,14,80.7,161,33.1,34,6,80,41,281
RedskinsRedskins,481,278,57.8,7.0,3346,25,11,87.0,166,34.5,40,11,78,31,240
SeahawksSeahawks,474,307,64.8,7.7,3632,25,10,96.8,192,40.5,44,8,56,27,174
JetsJets,470,268,57.0,6.4,2989,11,15,70.6,146,31.1,34,5,60,53,347
BroncosBroncos,465,279,60.0,7.2,3373,18,7,88.9,162,34.8,44,8,72T,23,146
BillsBills,459,269,58.6,6.2,2852,18,16,75.4,129,28.1,29,9,65,43,337
FalconsFalcons,451,247,54.8,6.4,2907,19,13,76.6,149,33.0,33,5,58,39,228
PanthersPanthers,449,269,59.9,7.8,3485,25,16,88.1,157,35.0,44,13,80T,28,214
TexansTexans,449,270,60.1,5.9,2661,15,13,76.0,142,31.6,21,2,53T,68,424
BearsBears,418,219,52.4,5.3,2201,11,15,61.5,111,26.6,27,4,54,31,199
49ers49ers,389,204,52.4,5.6,2190,8,21,53.6,96,24.7,27,4,89T,48,292
SteelersSteelers,379,228,60.2,8.2,3104,21,14,89.4,144,38.0,44,14,85,32,178
