Team,INT,INT TD,INT Yds,Lng
BearsBears,24,8,488,74
CardinalsCardinals,22,2,306,102
GiantsGiants,21,1,496,70
RedskinsRedskins,21,3,257,49
FalconsFalcons,20,1,246,79T
PatriotsPatriots,20,2,371,87
TitansTitans,19,4,358,79
PackersPackers,18,1,246,72
SeahawksSeahawks,18,2,255,57T
BuccaneersBuccaneers,18,3,419,83
BrownsBrowns,17,2,230,50
RamsRams,17,4,382,42T
BroncosBroncos,16,5,347,98
TexansTexans,15,3,333,86
SaintsSaints,15,4,369,99
BengalsBengals,14,2,164,44
ChargersChargers,14,5,336,80
NinersNiners,14,2,216,63
RavensRavens,13,2,196,63
BillsBills,12,1,178,45
ColtsColts,12,4,155,51
JaguarsJaguars,12,0,122,21T
PanthersPanthers,11,3,181,74
LionsLions,11,0,135,29
RaidersRaiders,11,0,91,24
JetsJets,11,2,117,40
DolphinsDolphins,10,0,99,31
VikingsVikings,10,3,224,56
SteelersSteelers,10,1,127,53T
EaglesEagles,8,0,31,14
CowboysCowboys,7,1,147,47
ChiefsChiefs,7,0,119,32T
