Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
TexansTexans,206,89,19,11,135,25.8,1101
SteelersSteelers,232,86,24,13,144,28.9,1116
TitansTitans,210,77,24,14,90,24.5,1039
PanthersPanthers,217,82,21,12,112,23.6,1028
DolphinsDolphins,231,95,18,11,106,24.9,1081
GiantsGiants,226,90,23,15,126,25.6,1137
CowboysCowboys,223,76,26,16,99,23.1,1082
VikingsVikings,214,78,30,15,131,27.6,1152
RavensRavens,201,70,18,11,81,21.4,1033
Football TeamFootball Team,229,111,20,12,101,23.5,1065
BuccaneersBuccaneers,226,87,28,13,94,25.7,1093
BillsBills,214,66,35,16,108,24.4,1014
EaglesEagles,217,93,29,14,115,25.1,1065
CardinalsCardinals,207,79,30,14,109,25.6,1028
ChargersChargers,216,107,22,7,144,28.3,1103
SaintsSaints,240,89,21,9,84,19.7,1064
BearsBears,211,81,24,12,116,24.0,1009
BroncosBroncos,225,101,26,11,99,22.4,1039
LionsLions,204,92,14,9,135,26.1,1092
BrownsBrowns,219,86,25,16,108,24.7,1056
JaguarsJaguars,221,95,21,14,124,25.2,1068
JetsJets,223,99,21,13,129,24.6,1145
FalconsFalcons,217,105,22,11,143,27.6,1114
ColtsColts,210,85,21,12,101,24.0,1050
PatriotsPatriots,211,77,32,17,111,23.9,1038
BengalsBengals,221,92,18,7,107,26.3,1075
RaidersRaiders,230,91,29,21,109,23.6,1103
ChiefsChiefs,199,80,31,19,121,28.9,1060
RamsRams,223,92,32,17,111,25.1,1118
PackersPackers,203,87,33,15,120,30.4,1037
49ers49ers,220,88,25,11,97,22.1,1043
SeahawksSeahawks,224,88,31,13,124,24.4,1201
