Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
TexansTexans,214,61,12,7,79,20.4,986
ColtsColts,227,89,14,10,89,19.7,1072
ChargersChargers,195,74,8,7,101,24.2,959
EaglesEagles,231,99,9,6,100,20.9,1148
JetsJets,232,77,23,13,62,16.6,1013
FalconsFalcons,191,82,15,5,107,25.7,996
BillsBills,210,85,13,3,87,22.1,1017
BrownsBrowns,203,81,15,10,104,22.7,998
RavensRavens,216,86,9,4,80,19.1,1000
BroncosBroncos,227,80,14,5,81,19.8,1033
RaidersRaiders,224,84,17,9,94,23.2,1085
BearsBears,201,89,12,5,103,23.8,980
SaintsSaints,176,71,13,10,103,24.5,996
GiantsGiants,230,108,14,8,104,23.4,1105
RedskinsRedskins,207,78,20,11,103,25.4,1010
PatriotsPatriots,225,84,18,8,77,19.4,1042
NinersNiners,210,82,11,6,128,25.4,1081
SeahawksSeahawks,195,67,7,1,71,19.6,947
PackersPackers,220,79,21,10,96,22.9,1014
JaguarsJaguars,227,105,12,6,102,22.0,1102
DolphinsDolphins,221,96,12,4,112,22.3,1075
PanthersPanthers,227,86,26,15,74,20.3,1058
LionsLions,200,82,8,5,96,22.4,999
BuccaneersBuccaneers,211,97,6,4,104,22.3,1044
BengalsBengals,218,86,20,9,74,21.5,1032
TitansTitans,216,92,12,4,101,21.9,1003
RamsRams,225,78,15,4,98,21.6,1091
ChiefsChiefs,217,72,27,13,86,22.4,1037
VikingsVikings,206,71,22,11,94,22.9,1015
CardinalsCardinals,210,75,17,8,79,21.2,982
SteelersSteelers,225,90,24,7,71,18.6,1055
CowboysCowboys,208,81,10,5,113,24.5,998
