Team,INT,INT TD,INT Yds,Lng
BearsBears,27,5,330,49
DolphinsDolphins,21,3,321,54
RamsRams,18,3,290,50
PatriotsPatriots,18,1,156,84
BrownsBrowns,17,0,100,50
BroncosBroncos,17,2,158,53
BillsBills,16,0,133,37T
GiantsGiants,16,3,191,46T
FalconsFalcons,15,1,151,41
TexansTexans,15,3,252,101
ColtsColts,15,0,220,47
ChiefsChiefs,15,3,280,67
RedskinsRedskins,15,0,203,40
RaidersRaiders,14,1,124,36
PanthersPanthers,13,0,86,39
JetsJets,13,3,318,104
ChargersChargers,13,1,247,86
RavensRavens,12,0,99,33
BengalsBengals,12,3,222,58
VikingsVikings,12,1,159,52T
SaintsSaints,12,1,259,78
SeahawksSeahawks,12,1,196,98
TitansTitans,11,2,120,56
JaguarsJaguars,11,2,117,33
EaglesEagles,10,0,139,29
CowboysCowboys,9,0,141,49T
BuccaneersBuccaneers,9,0,97,50
SteelersSteelers,8,2,89,35
LionsLions,7,2,148,67
PackersPackers,7,1,100,27T
CardinalsCardinals,7,0,55,25T
49ers49ers,2,1,55,32T
