Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
PatriotsPatriots,686,351,51.2,5.5,3789,14,16,64.8,207,30.2,36,3,72T,27,198
49ers49ers,644,432,67.1,7.4,4779,29,16,93.6,231,35.9,54,12,81,33,171
VikingsVikings,642,402,62.6,7.0,4500,33,16,90.2,223,34.7,53,12,85T,40,295
RamsRams,632,366,57.9,6.5,4113,27,23,76.5,199,31.5,50,6,72,43,308
LionsLions,605,362,59.8,7.4,4510,33,12,92.9,230,38.0,57,10,91T,32,150
FalconsFalcons,603,364,60.4,7.4,4456,26,12,89.3,216,35.8,62,11,62,43,270
BroncosBroncos,594,350,58.9,7.2,4260,27,14,86.4,205,34.5,54,10,62T,26,215
PackersPackers,593,372,62.7,7.6,4539,39,15,97.6,235,39.6,60,5,99T,33,217
DolphinsDolphins,592,384,64.9,7.4,4398,28,20,88.8,225,38.0,47,7,67,29,188
SteelersSteelers,592,348,58.8,6.9,4093,21,21,76.9,193,32.6,56,5,71,24,176
JetsJets,589,330,56.0,5.3,3129,20,24,65.2,159,27.0,30,3,43T,47,341
BengalsBengals,586,334,57.0,6.7,3915,29,18,81.1,184,31.4,42,10,88T,25,162
SaintsSaints,573,349,60.9,7.0,4002,26,14,86.9,202,35.2,52,7,70T,28,214
CardinalsCardinals,560,327,58.4,7.0,3893,17,24,72.0,184,32.9,59,4,48,55,390
BrownsBrowns,555,324,58.4,6.8,3772,21,20,76.6,189,34.0,51,8,70T,32,178
RaidersRaiders,543,317,58.4,7.0,3787,25,21,79.0,189,34.8,42,11,80,36,214
ChargersChargers,540,318,58.9,6.9,3706,17,18,76.4,185,34.3,38,5,51T,32,240
PanthersPanthers,537,263,49.0,6.2,3304,16,25,59.1,157,29.2,41,11,89T,38,258
OilersOilers,536,314,58.6,6.6,3512,22,18,77.9,157,29.3,38,10,76T,32,271
ChiefsChiefs,531,300,56.5,6.0,3178,21,10,79.4,164,30.9,31,5,60T,21,158
BearsBears,523,315,60.2,7.3,3838,29,10,93.4,201,38.4,42,13,76T,15,95
RedskinsRedskins,521,265,50.9,6.7,3496,16,20,66.7,169,32.4,54,10,73T,36,268
SeahawksSeahawks,511,273,53.4,6.6,3359,19,23,67.6,171,33.5,42,8,59,45,267
BuccaneersBuccaneers,507,267,52.7,6.6,3341,5,20,60.3,159,31.4,44,6,64T,56,386
BillsBills,506,279,55.1,6.6,3348,24,14,79.9,142,28.1,39,11,77,32,224
EaglesEagles,496,284,57.3,5.9,2931,11,19,65.8,145,29.2,27,0,37T,46,245
JaguarsJaguars,495,275,55.6,6.4,3144,19,15,75.0,154,31.1,35,2,71T,57,354
CowboysCowboys,494,322,65.2,7.6,3741,18,10,91.7,195,39.5,44,8,50,18,118
GiantsGiants,479,260,54.3,6.0,2863,11,13,68.6,150,31.3,31,5,57T,46,213
ColtsColts,434,270,62.2,7.8,3373,20,11,91.1,147,33.9,40,8,52,49,309
