Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
PatriotsPatriots,230,98,14,4,76,17.0,1053
EaglesEagles,230,85,12,7,125,23.7,1019
ChargersChargers,227,68,13,6,72,17.1,991
GiantsGiants,234,88,18,7,103,21.6,1051
JetsJets,222,79,22,12,87,21.8,980
DolphinsDolphins,213,70,11,6,75,19.0,944
BuccaneersBuccaneers,202,64,14,3,75,18.1,925
RaidersRaiders,224,59,20,9,95,19.7,1020
SteelersSteelers,236,89,18,8,88,18.4,1002
JaguarsJaguars,222,81,20,10,108,24.0,1057
PackersPackers,233,92,17,5,67,17.2,980
BillsBills,207,80,18,10,79,21.1,950
ChiefsChiefs,204,69,12,6,119,24.2,1010
CardinalsCardinals,210,78,18,11,117,23.8,1049
BengalsBengals,200,89,9,4,142,25.4,992
BroncosBroncos,225,88,19,10,80,22.5,999
49ers49ers,213,73,17,7,91,23.0,1012
RedskinsRedskins,231,88,15,6,127,23.9,1057
OilersOilers,201,76,16,3,81,19.6,955
BearsBears,196,80,6,3,121,25.3,963
PanthersPanthers,211,88,9,5,95,19.4,1029
RamsRams,221,83,9,3,92,19.2,1004
CowboysCowboys,210,71,20,5,84,21.0,988
VikingsVikings,203,69,32,17,102,25.2,997
RavensRavens,237,93,11,4,90,19.1,1050
SaintsSaints,226,99,9,4,86,18.4,1053
LionsLions,217,89,7,5,113,23.2,1004
FalconsFalcons,201,72,19,9,65,18.0,950
ColtsColts,208,89,9,3,131,24.1,1043
SeahawksSeahawks,236,92,20,8,111,22.8,1137
