Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
BengalsBengals,218,93,11,5,106,21.6,1013
RavensRavens,212,71,16,3,58,15.8,928
BuccaneersBuccaneers,214,81,13,5,87,19.7,945
EaglesEagles,227,73,14,5,79,18.8,994
PackersPackers,210,80,23,17,121,26.4,1003
SteelersSteelers,226,71,21,10,73,18.7,974
PatriotsPatriots,205,91,10,2,78,18.8,920
FalconsFalcons,208,79,20,10,108,26.0,998
BearsBears,232,81,21,10,93,21.3,1087
VikingsVikings,203,68,13,5,72,19.4,946
TitansTitans,226,79,18,8,81,20.1,1022
RamsRams,187,74,6,4,146,29.1,975
RedskinsRedskins,208,74,12,8,86,21.6,933
ChiefsChiefs,211,100,14,6,133,26.1,1041
RaidersRaiders,232,103,13,9,129,23.8,1045
JaguarsJaguars,200,82,11,5,98,22.9,922
BrownsBrowns,207,95,17,11,125,23.1,1004
CowboysCowboys,216,77,14,8,85,21.1,969
LionsLions,196,89,10,6,147,27.4,1009
GiantsGiants,204,83,16,5,78,20.2,931
BillsBills,202,73,16,8,113,24.8,971
ColtsColts,211,100,7,3,119,25.2,983
BroncosBroncos,202,89,18,10,122,26.0,990
SaintsSaints,206,82,14,8,100,22.5,999
CardinalsCardinals,207,92,17,13,117,26.3,993
NinersNiners,219,83,19,12,104,23.0,1027
SeahawksSeahawks,222,94,13,8,98,21.4,1058
TexansTexans,188,74,13,10,114,26.0,935
JetsJets,210,81,18,13,86,21.1,1020
PanthersPanthers,219,87,20,9,100,23.2,1026
ChargersChargers,207,84,24,13,98,24.0,1041
DolphinsDolphins,209,79,19,11,96,24.7,979
