Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
RedskinsRedskins,348,1346,3.9,11,72,20.7
JetsJets,379,1442,3.8,8,94,24.8
ChiefsChiefs,417,1770,4.2,8,88,21.1
BroncosBroncos,411,1794,4.4,8,81,19.7
BillsBills,519,2044,3.9,20,138,26.6
BearsBears,389,1580,4.1,9,77,19.8
GiantsGiants,414,1726,4.2,11,103,24.9
SaintsSaints,334,1213,3.6,6,63,18.9
VikingsVikings,456,1837,4.0,17,106,23.2
ChargersChargers,430,1666,3.9,15,94,21.9
LionsLions,444,1760,4.0,16,93,21.0
BengalsBengals,454,1662,3.7,20,100,22.0
RaidersRaiders,447,1889,4.2,13,108,24.2
EaglesEagles,383,1136,3.0,4,53,13.8
49ers49ers,399,1512,3.8,8,86,21.6
CowboysCowboys,400,1571,3.9,11,103,25.8
PatriotsPatriots,460,1579,3.4,5,94,20.4
FalconsFalcons,466,1953,4.2,13,93,20.0
SteelersSteelers,466,1582,3.4,14,98,21.0
SeahawksSeahawks,435,1684,3.9,4,91,20.9
CardinalsCardinals,493,2136,4.3,27,132,26.8
BrownsBrowns,447,1875,4.2,12,100,22.4
RamsRams,469,1659,3.5,19,105,22.4
PackersPackers,457,1546,3.4,10,99,21.7
DolphinsDolphins,499,2301,4.6,17,133,26.6
BuccaneersBuccaneers,512,2107,4.1,21,120,23.4
ColtsColts,544,2327,4.3,23,140,25.7
OilersOilers,407,1540,3.8,8,94,23.1
