Team,FF,FR,FR TD
RamsRams,21,15,3
BearsBears,19,8,1
ColtsColts,19,12,0
RaidersRaiders,19,12,2
SeahawksSeahawks,17,10,1
BroncosBroncos,16,9,1
PackersPackers,16,11,2
SteelersSteelers,16,10,0
JaguarsJaguars,15,10,1
GiantsGiants,15,12,0
BuccaneersBuccaneers,15,10,0
RavensRavens,14,7,0
TitansTitans,14,12,2
FalconsFalcons,13,10,1
BengalsBengals,13,11,1
CowboysCowboys,13,13,3
ChiefsChiefs,13,15,2
SaintsSaints,13,7,0
EaglesEagles,13,12,1
BillsBills,12,6,1
VikingsVikings,12,8,1
NinersNiners,12,10,3
RedskinsRedskins,12,9,1
PanthersPanthers,11,9,0
LionsLions,11,7,1
PatriotsPatriots,11,12,1
CardinalsCardinals,11,9,1
ChargersChargers,11,6,0
TexansTexans,10,4,0
DolphinsDolphins,10,6,0
JetsJets,10,2,0
BrownsBrowns,8,7,1
