Team,FF,FR,FR TD
CowboysCowboys,22,17,3
GiantsGiants,20,13,1
SeahawksSeahawks,18,11,0
JaguarsJaguars,17,13,2
BroncosBroncos,16,8,0
49ers49ers,16,10,1
EaglesEagles,15,10,0
ChargersChargers,15,10,0
RavensRavens,14,10,0
BearsBears,14,9,0
BengalsBengals,14,10,1
LionsLions,14,10,0
TexansTexans,14,10,0
ColtsColts,14,11,0
DolphinsDolphins,13,6,2
PatriotsPatriots,13,11,2
SaintsSaints,13,7,0
PackersPackers,12,7,0
ChiefsChiefs,12,9,0
CardinalsCardinals,12,9,2
BuccaneersBuccaneers,12,10,0
BillsBills,11,10,0
BrownsBrowns,11,9,2
TitansTitans,11,6,0
VikingsVikings,11,10,1
JetsJets,11,4,0
RamsRams,10,6,0
RaidersRaiders,10,7,2
PanthersPanthers,9,6,1
SteelersSteelers,9,3,0
FalconsFalcons,8,6,0
CommandersCommanders,8,9,1
