Team,FF,FR,FR TD
EaglesEagles,29,0,0
RamsRams,25,0,0
ColtsColts,24,0,0
PanthersPanthers,23,0,0
PackersPackers,22,0,0
BearsBears,21,0,0
SaintsSaints,21,0,0
FalconsFalcons,19,0,0
BrownsBrowns,19,0,0
LionsLions,19,0,0
RedskinsRedskins,19,0,0
BuccaneersBuccaneers,18,0,0
SeahawksSeahawks,17,0,0
CowboysCowboys,16,0,0
TitansTitans,15,0,0
DolphinsDolphins,15,0,0
PatriotsPatriots,15,0,0
BroncosBroncos,14,0,0
JaguarsJaguars,14,0,0
ChiefsChiefs,14,0,0
GiantsGiants,14,0,0
49ers49ers,14,0,0
SteelersSteelers,13,0,0
ChargersChargers,13,0,0
BengalsBengals,12,0,0
RavensRavens,11,0,0
RaidersRaiders,11,0,0
JetsJets,11,0,0
TexansTexans,10,0,0
BillsBills,9,0,0
CardinalsCardinals,7,0,0
VikingsVikings,5,0,0
