Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
CowboysCowboys,437,1561,3.6,8,86,19.7
SteelersSteelers,421,1452,3.4,7,76,18.0
GiantsGiants,447,1728,3.9,11,92,20.6
ColtsColts,463,1646,3.6,8,98,21.2
49ers49ers,375,1338,3.6,16,82,21.9
BearsBears,432,1922,4.4,10,100,23.2
BillsBills,447,1515,3.4,10,82,18.3
ChargersChargers,385,1404,3.6,11,89,23.1
CardinalsCardinals,409,1370,3.4,7,71,17.4
SeahawksSeahawks,511,1952,3.8,15,122,23.9
PatriotsPatriots,422,1760,4.2,11,86,20.4
ChiefsChiefs,446,1734,3.9,11,93,20.8
BrownsBrowns,465,1669,3.6,9,98,21.1
DolphinsDolphins,394,1430,3.6,14,85,21.6
EaglesEagles,449,1616,3.6,11,94,20.9
BroncosBroncos,432,1752,4.1,12,103,23.8
BuccaneersBuccaneers,468,1964,4.2,13,100,21.4
RaidersRaiders,444,1543,3.5,11,94,21.2
VikingsVikings,355,1090,3.1,9,65,18.3
PackersPackers,381,1363,3.6,9,82,21.5
OilersOilers,540,2120,3.9,17,112,20.7
JetsJets,463,1809,3.9,17,105,22.7
RedskinsRedskins,556,1975,3.6,24,129,23.2
LionsLions,511,1859,3.6,15,131,25.6
BengalsBengals,517,1906,3.7,16,126,24.4
RamsRams,496,1781,3.6,12,103,20.8
SaintsSaints,458,1758,3.8,10,106,23.1
FalconsFalcons,426,1693,4.0,16,107,25.1
