Team,FF,FR,FR TD
EaglesEagles,24,16,2
PanthersPanthers,22,12,0
ColtsColts,21,13,1
JaguarsJaguars,19,13,2
BearsBears,18,10,0
SeahawksSeahawks,18,10,0
TexansTexans,17,14,1
RamsRams,17,12,0
RavensRavens,16,11,0
ChargersChargers,16,11,3
BuccaneersBuccaneers,16,11,0
BrownsBrowns,15,8,1
CowboysCowboys,15,12,1
BroncosBroncos,15,7,1
PatriotsPatriots,15,8,2
GiantsGiants,15,8,1
BillsBills,14,11,1
RedskinsRedskins,14,12,0
FalconsFalcons,13,12,1
ChiefsChiefs,13,7,0
DolphinsDolphins,13,11,1
PackersPackers,12,9,1
RaidersRaiders,12,5,1
SteelersSteelers,12,10,1
LionsLions,11,7,1
SaintsSaints,11,5,0
NinersNiners,10,6,1
VikingsVikings,9,6,1
JetsJets,9,7,0
CardinalsCardinals,9,7,1
BengalsBengals,7,6,0
TitansTitans,5,4,1
