Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
PatriotsPatriots,215,72,16,6,86,20.4,1009
VikingsVikings,215,78,15,7,65,18.3,988
EaglesEagles,214,78,9,4,94,20.9,981
ChiefsChiefs,212,80,14,8,93,20.8,988
BearsBears,218,81,17,8,100,23.2,982
PackersPackers,222,79,18,9,82,21.5,1023
BroncosBroncos,217,86,10,3,103,23.8,1023
SteelersSteelers,225,72,19,11,76,18.0,1008
SeahawksSeahawks,224,83,20,8,122,23.9,1077
CardinalsCardinals,187,52,10,4,71,17.4,909
ChargersChargers,210,77,25,13,89,23.1,1005
GiantsGiants,209,86,13,5,92,20.6,973
DolphinsDolphins,197,76,22,8,85,21.6,1000
BillsBills,217,91,18,12,82,18.3,1007
JetsJets,208,83,24,12,105,22.7,1014
OilersOilers,219,80,10,3,112,20.7,971
CowboysCowboys,229,91,17,8,86,19.7,1006
RaidersRaiders,233,90,24,15,94,21.2,1046
BengalsBengals,231,92,8,4,126,24.4,1050
BrownsBrowns,242,83,18,7,98,21.1,1090
49ers49ers,221,87,19,11,82,21.9,996
RedskinsRedskins,223,87,10,5,129,23.2,1080
FalconsFalcons,205,84,20,9,107,25.1,1038
RamsRams,221,101,11,5,103,20.8,1063
BuccaneersBuccaneers,214,94,12,4,100,21.4,986
SaintsSaints,210,91,19,11,106,23.1,1054
ColtsColts,251,115,23,13,98,21.2,1090
LionsLions,231,112,20,10,131,25.6,1086
