Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
JetsJets,420,1578,3.8,11,87,20.7
PanthersPanthers,450,1997,4.4,15,109,24.2
DolphinsDolphins,435,1835,4.2,16,88,20.2
BengalsBengals,399,1573,3.9,12,95,23.8
TitansTitans,402,1711,4.3,16,89,22.1
BrownsBrowns,506,2314,4.6,15,120,23.7
RavensRavens,435,1492,3.4,8,82,18.8
SaintsSaints,435,1955,4.5,19,111,25.5
VikingsVikings,357,1394,3.9,5,63,17.6
PatriotsPatriots,398,1768,4.4,6,80,20.1
FalconsFalcons,433,1711,4.0,10,89,20.6
JaguarsJaguars,458,1863,4.1,12,100,21.8
GiantsGiants,423,1773,4.2,21,103,24.4
BroncosBroncos,458,2059,4.5,11,99,21.6
PackersPackers,371,1333,3.6,5,68,18.3
ChiefsChiefs,531,2504,4.7,18,122,23.0
CowboysCowboys,365,1448,4.0,7,74,20.3
SteelersSteelers,372,1438,3.9,7,70,18.8
ChargersChargers,422,1884,4.5,10,112,26.5
TexansTexans,396,1711,4.3,17,91,23.0
BillsBills,535,2501,4.7,19,134,25.0
RamsRams,500,2201,4.4,24,127,25.4
RaidersRaiders,548,2488,4.5,24,126,23.0
LionsLions,458,2025,4.4,18,95,20.7
BuccaneersBuccaneers,529,2531,4.8,16,129,24.4
SeahawksSeahawks,428,1776,4.2,17,80,18.7
RedskinsRedskins,449,1799,4.0,10,85,18.9
EaglesEagles,413,1675,4.1,11,81,19.6
BearsBears,467,2022,4.3,14,105,22.5
NinersNiners,426,1552,3.6,12,77,18.1
ColtsColts,467,2024,4.3,10,106,22.7
CardinalsCardinals,402,1804,4.5,13,81,20.2
