Team,FF,FR,FR TD
ChiefsChiefs,26,26,0
JetsJets,23,21,0
PatriotsPatriots,22,18,1
LionsLions,20,11,1
SteelersSteelers,20,14,1
DolphinsDolphins,18,9,0
SaintsSaints,18,14,2
49ers49ers,17,12,1
FalconsFalcons,16,11,1
PackersPackers,16,12,0
CardinalsCardinals,16,13,0
EaglesEagles,15,14,0
BillsBills,14,12,1
BearsBears,14,10,0
ChargersChargers,14,15,0
BengalsBengals,13,8,0
BroncosBroncos,13,14,0
ColtsColts,13,10,2
RaidersRaiders,13,13,2
VikingsVikings,13,16,2
BuccaneersBuccaneers,13,12,0
BrownsBrowns,12,13,0
SeahawksSeahawks,12,11,0
OilersOilers,11,12,0
RamsRams,11,6,2
GiantsGiants,11,16,0
RedskinsRedskins,11,6,2
CowboysCowboys,8,9,0
