Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
DolphinsDolphins,407,1554,3.8,9,86,21.1
FalconsFalcons,441,2047,4.6,12,97,22.0
SteelersSteelers,359,1375,3.8,16,77,21.4
TitansTitans,372,1424,3.8,7,75,20.2
EaglesEagles,390,1660,4.3,5,83,21.3
49ers49ers,394,1652,4.2,14,96,24.4
GiantsGiants,407,1830,4.5,12,87,21.4
VikingsVikings,394,1666,4.2,15,83,21.1
ChargersChargers,410,1739,4.2,15,91,22.2
ChiefsChiefs,431,2067,4.8,19,120,27.8
BroncosBroncos,379,1489,3.9,21,100,26.4
JaguarsJaguars,487,2071,4.2,14,112,23.0
PanthersPanthers,448,1653,3.7,12,95,21.2
PackersPackers,413,1998,4.8,14,122,29.5
RedskinsRedskins,435,1754,4.0,14,96,22.1
ColtsColts,459,1992,4.3,16,114,24.8
SeahawksSeahawks,500,2441,4.9,18,140,28.0
RavensRavens,471,1762,3.7,17,95,20.2
BengalsBengals,498,2003,4.0,16,104,20.9
SaintsSaints,439,1991,4.5,18,108,24.6
TexansTexans,509,2089,4.1,14,116,22.8
CowboysCowboys,481,1818,3.8,10,90,18.7
RaidersRaiders,384,1453,3.8,14,96,25.0
CardinalsCardinals,490,2146,4.4,17,117,23.9
BuccaneersBuccaneers,410,1554,3.8,8,79,19.3
BrownsBrowns,483,2079,4.3,12,107,22.2
JetsJets,427,1973,4.6,17,116,27.2
PatriotsPatriots,467,2198,4.7,17,129,27.6
BillsBills,473,2122,4.5,20,107,22.6
BearsBears,504,2076,4.1,13,110,21.8
LionsLions,495,1967,4.0,19,111,22.4
RamsRams,445,1816,4.1,15,105,23.6
