Team,INT,INT TD,INT Yds,Lng
DolphinsDolphins,23,1,276,58T
CardinalsCardinals,23,1,297,46T
49ers49ers,23,4,508,93
FalconsFalcons,22,2,322,74
CowboysCowboys,22,3,297,94
PatriotsPatriots,22,1,209,24T
PackersPackers,21,1,232,51
EaglesEagles,21,2,209,55
SeahawksSeahawks,19,2,284,69
BrownsBrowns,18,1,223,93T
ColtsColts,18,3,360,90T
VikingsVikings,18,4,338,81
SaintsSaints,17,1,197,56T
JetsJets,17,3,355,90
SteelersSteelers,17,2,240,42T
ChargersChargers,17,3,402,99
RedskinsRedskins,17,3,326,92
BillsBills,16,0,175,45
GiantsGiants,16,0,128,36
OilersOilers,14,1,242,41
RamsRams,14,1,211,51
BearsBears,12,0,127,33
BroncosBroncos,12,0,55,24
LionsLions,12,2,144,48
ChiefsChiefs,12,1,218,78T
RaidersRaiders,12,3,187,35T
BengalsBengals,10,0,167,49
BuccaneersBuccaneers,9,0,77,38
