Team,INT,INT TD,INT Yds,Lng
SteelersSteelers,20,1,152,34
49ers49ers,20,2,305,56
PatriotsPatriots,19,5,383,69
BillsBills,17,1,165,43T
PackersPackers,17,2,351,75
EaglesEagles,17,2,186,42
CowboysCowboys,16,0,60,26
TexansTexans,16,1,253,39T
RamsRams,16,1,240,85T
BroncosBroncos,15,0,89,23
VikingsVikings,15,0,186,39
RavensRavens,14,0,105,33
BearsBears,14,0,201,42
TitansTitans,14,1,149,76T
JaguarsJaguars,14,2,232,59
ChargersChargers,14,1,166,30T
SeahawksSeahawks,14,1,163,40T
BengalsBengals,13,0,133,46
LionsLions,12,1,157,38T
JetsJets,12,0,69,27
BrownsBrowns,11,1,57,40T
ChiefsChiefs,11,2,225,99
CardinalsCardinals,11,3,246,56
FalconsFalcons,10,1,124,28T
PanthersPanthers,10,2,189,54
ColtsColts,10,2,141,35
BuccaneersBuccaneers,10,1,140,68T
CommandersCommanders,9,2,68,37T
DolphinsDolphins,8,0,115,33
SaintsSaints,7,1,110,41T
RaidersRaiders,6,1,141,73T
GiantsGiants,6,1,97,52T
