Team,FF,FR,FR TD
BuccaneersBuccaneers,27,0,0
LionsLions,25,0,0
SteelersSteelers,25,0,0
SeahawksSeahawks,25,0,0
BearsBears,24,0,0
VikingsVikings,22,0,0
BroncosBroncos,21,0,0
CowboysCowboys,20,0,0
ColtsColts,20,0,0
PatriotsPatriots,20,0,0
ChargersChargers,19,0,0
PanthersPanthers,18,0,0
TexansTexans,18,0,0
RedskinsRedskins,18,0,0
RamsRams,17,0,0
SaintsSaints,17,0,0
FalconsFalcons,16,0,0
BengalsBengals,16,0,0
TitansTitans,16,0,0
GiantsGiants,16,0,0
JaguarsJaguars,15,0,0
ChiefsChiefs,14,0,0
DolphinsDolphins,14,0,0
CardinalsCardinals,14,0,0
PackersPackers,13,0,0
RaidersRaiders,13,0,0
BillsBills,12,0,0
BrownsBrowns,12,0,0
NinersNiners,12,0,0
RavensRavens,11,0,0
JetsJets,10,0,0
EaglesEagles,10,0,0
