Team,Rsh TD,Rec TD,Tot TD,2-PT
TexansTexans,20,24,44,0
RaidersRaiders,19,18,43,0
PatriotsPatriots,19,37,64,0
EaglesEagles,18,28,48,0
ChargersChargers,18,30,51,1
GiantsGiants,17,31,48,1
VikingsVikings,16,14,32,0
SteelersSteelers,15,22,41,2
FalconsFalcons,14,28,46,2
JaguarsJaguars,14,26,41,0
JetsJets,14,20,39,0
BrownsBrowns,13,13,28,0
BroncosBroncos,13,25,39,0
TitansTitans,13,24,40,0
ColtsColts,13,33,50,0
ChiefsChiefs,13,27,44,0
SeahawksSeahawks,13,14,33,0
RavensRavens,11,25,40,0
LionsLions,11,26,40,0
PackersPackers,11,31,45,0
BearsBears,10,23,37,0
CowboysCowboys,10,29,45,2
NinersNiners,10,19,34,0
RamsRams,9,18,27,0
SaintsSaints,9,33,44,0
CardinalsCardinals,9,10,27,0
BuccaneersBuccaneers,9,26,39,1
RedskinsRedskins,9,21,32,0
BengalsBengals,8,26,35,2
DolphinsDolphins,8,17,25,0
PanthersPanthers,7,9,17,0
BillsBills,6,24,33,0
