Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
CardinalsCardinals,419,4723,11.3,21,63,12,63,224,53.5,3
RamsRams,392,4351,11.1,23,41,8,83,209,53.3,6
PackersPackers,383,3964,10.4,20,40,7,59,206,53.8,3
BengalsBengals,362,3935,10.9,32,43,9,70,203,56.1,9
TitansTitans,358,3797,10.6,20,33,8,57,191,53.4,4
PatriotsPatriots,352,4322,12.3,28,62,9,71,204,58.0,4
ColtsColts,347,4191,12.1,31,49,7,80,217,62.5,1
ChargersChargers,338,3738,11.1,27,48,4,54T,191,56.5,3
EaglesEagles,337,3903,11.6,21,49,8,91,182,54.0,4
RavensRavens,335,3381,10.1,17,38,2,48,163,48.7,5
VikingsVikings,323,3449,10.7,18,31,8,80T,169,52.3,2
ChiefsChiefs,317,4014,12.7,17,51,11,60,182,57.4,3
RaidersRaiders,316,3883,12.3,21,50,6,79,189,59.8,3
SaintsSaints,308,3604,11.7,15,47,5,66,182,59.1,4
SeahawksSeahawks,307,3632,11.8,25,44,8,56,192,62.5,3
BuccaneersBuccaneers,303,3171,10.5,17,34,6,80,161,53.1,2
CowboysCowboys,300,3639,12.1,23,42,9,71,177,59.0,4
BrownsBrowns,297,3323,11.2,15,38,8,80,149,50.2,1
LionsLions,297,3021,10.2,15,35,8,86,151,50.8,5
GiantsGiants,294,3762,12.8,24,49,8,78T,172,58.5,3
DolphinsDolphins,291,3458,11.9,22,44,11,77,159,54.6,5
JaguarsJaguars,283,3352,11.8,21,43,5,45,170,60.1,8
BroncosBroncos,279,3373,12.1,18,44,8,72,162,58.1,6
RedskinsRedskins,278,3346,12.0,25,40,11,78,166,59.7,5
TexansTexans,270,2661,9.9,15,21,2,53,142,52.6,0
BillsBills,269,2852,10.6,18,29,9,65,129,48.0,1
PanthersPanthers,269,3485,13.0,25,44,13,80,157,58.4,3
JetsJets,268,2989,11.2,11,34,5,60T,146,54.5,4
FalconsFalcons,247,2907,11.8,19,32,5,58,149,60.3,5
SteelersSteelers,228,3104,13.6,21,44,14,85,144,63.2,3
BearsBears,219,2201,10.0,11,27,4,54T,111,50.7,3
49ers49ers,204,2190,10.7,8,27,4,89,96,47.1,4
