Team,FR TD,SFTY,INT TD
FalconsFalcons,2,1,3
LionsLions,2,0,1
RaidersRaiders,2,0,1
DolphinsDolphins,2,1,2
VikingsVikings,2,2,2
ChargersChargers,2,1,0
BillsBills,1,0,2
BearsBears,1,0,1
BengalsBengals,1,2,1
BrownsBrowns,1,0,1
BroncosBroncos,1,3,1
PackersPackers,1,0,1
OilersOilers,1,1,1
ColtsColts,1,0,1
ChiefsChiefs,1,1,1
PatriotsPatriots,1,0,0
GiantsGiants,1,0,2
JetsJets,1,1,0
EaglesEagles,1,0,3
SeahawksSeahawks,1,0,0
RedskinsRedskins,1,2,2
CowboysCowboys,0,1,1
RamsRams,0,0,1
SaintsSaints,0,1,1
CardinalsCardinals,0,0,2
SteelersSteelers,0,1,1
49ers49ers,0,1,0
BuccaneersBuccaneers,0,0,3
