Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
DolphinsDolphins,245,120,18,13,188,56.8,129,25.3,1088
LionsLions,234,84,26,7,168,53.2,82,20.0,1037
BrownsBrowns,233,76,15,10,118,53.9,102,20.5,971
JetsJets,232,86,20,15,131,62.4,132,21.8,1030
BengalsBengals,229,93,14,10,158,55.2,109,21.6,1011
ChiefsChiefs,227,62,29,14,139,47.0,91,20.8,1019
JaguarsJaguars,226,102,21,12,170,54.0,114,25.5,1010
RamsRams,226,73,28,10,159,51.0,79,19.2,998
SeahawksSeahawks,225,75,19,8,184,49.5,80,20.2,1045
VikingsVikings,223,100,12,8,220,58.4,99,21.2,1054
PanthersPanthers,220,82,20,9,152,57.6,123,23.4,1023
PackersPackers,219,103,9,3,201,56.3,102,23.3,1042
NinersNiners,218,65,21,12,137,43.9,77,20.8,939
BuccaneersBuccaneers,218,71,22,9,148,53.0,80,19.8,961
BearsBears,217,81,18,7,170,50.0,71,19.0,971
FalconsFalcons,216,91,23,16,192,57.8,105,23.3,1048
RedskinsRedskins,216,86,22,7,191,56.2,72,18.4,970
BroncosBroncos,215,78,18,7,186,54.6,95,21.6,1032
RavensRavens,214,89,13,6,187,58.3,115,24.6,1014
TitansTitans,214,89,22,12,154,56.8,115,23.0,990
RaidersRaiders,213,63,21,10,131,51.4,81,19.8,944
GiantsGiants,210,90,15,9,194,57.4,103,23.2,1017
EaglesEagles,207,75,14,6,182,54.3,87,22.7,975
PatriotsPatriots,206,90,22,11,222,56.9,114,24.5,1076
TexansTexans,204,82,12,8,231,57.9,93,21.9,1043
SteelersSteelers,203,80,12,8,210,59.8,96,22.4,1014
CowboysCowboys,202,82,11,4,203,58.5,110,25.2,1020
BillsBills,198,51,15,7,126,49.2,81,19.1,911
SaintsSaints,197,88,15,6,215,56.9,115,24.6,1032
ColtsColts,193,95,11,5,241,60.0,69,18.8,980
CardinalsCardinals,190,69,9,5,215,54.8,77,21.1,985
ChargersChargers,187,83,10,5,222,65.7,80,18.7,972
