Team,FF,FR,FR TD
RaidersRaiders,23,22,3
ChiefsChiefs,22,17,2
CardinalsCardinals,22,0,0
SteelersSteelers,21,12,2
BengalsBengals,20,12,0
OilersOilers,20,17,0
DolphinsDolphins,20,16,1
EaglesEagles,20,19,4
JaguarsJaguars,19,11,0
RedskinsRedskins,19,18,1
LionsLions,18,13,1
RamsRams,18,14,3
PanthersPanthers,17,15,1
ColtsColts,17,13,1
PatriotsPatriots,17,14,1
GiantsGiants,17,15,1
JetsJets,17,0,0
BuccaneersBuccaneers,17,16,1
BillsBills,16,11,0
VikingsVikings,16,15,2
SaintsSaints,16,12,0
49ers49ers,16,0,0
FalconsFalcons,14,12,0
BearsBears,14,13,0
BroncosBroncos,14,13,1
SeahawksSeahawks,14,9,2
ChargersChargers,13,10,2
BrownsBrowns,12,7,0
CowboysCowboys,10,6,0
PackersPackers,9,3,1
