Team,Rsh TD,Rec TD,Tot TD,2-PT
BillsBills,29,17,47,4
CowboysCowboys,24,25,49,0
FalconsFalcons,20,38,61,2
CardinalsCardinals,20,28,50,1
PatriotsPatriots,19,32,51,1
BengalsBengals,17,18,35,0
RaidersRaiders,17,29,47,5
SaintsSaints,17,38,55,2
RedskinsRedskins,17,25,43,0
PanthersPanthers,16,21,38,3
TitansTitans,16,29,45,0
EaglesEagles,16,16,37,4
ChiefsChiefs,15,19,41,2
49ers49ers,15,21,36,2
DolphinsDolphins,14,27,45,1
BrownsBrowns,13,15,29,2
ColtsColts,13,32,46,2
SteelersSteelers,13,33,46,3
SeahawksSeahawks,13,23,36,1
BroncosBroncos,11,20,34,1
PackersPackers,11,40,51,2
RavensRavens,10,20,31,4
BearsBears,10,19,31,0
JetsJets,10,16,28,1
ChargersChargers,10,33,46,0
LionsLions,9,24,36,1
RamsRams,9,14,23,0
VikingsVikings,9,20,34,1
TexansTexans,8,15,25,0
JaguarsJaguars,8,24,34,2
BuccaneersBuccaneers,8,29,41,4
GiantsGiants,6,26,34,0
