Team,Rsh TD,Rec TD,Tot TD,2-PT
ChargersChargers,32,24,56,0
JaguarsJaguars,23,17,42,0
CowboysCowboys,21,26,51,1
PatriotsPatriots,20,25,46,0
SaintsSaints,19,27,49,0
ColtsColts,17,31,49,0
ChiefsChiefs,17,18,37,0
SteelersSteelers,16,23,42,0
TitansTitans,15,13,33,2
JetsJets,15,17,34,0
BearsBears,14,24,45,0
BengalsBengals,14,28,43,0
GiantsGiants,14,24,41,0
TexansTexans,13,14,28,1
RamsRams,13,24,38,0
EaglesEagles,13,31,48,0
RedskinsRedskins,13,19,34,0
BroncosBroncos,12,20,34,0
VikingsVikings,12,13,30,0
CardinalsCardinals,12,17,31,0
49ers49ers,12,16,29,0
RavensRavens,11,21,37,0
FalconsFalcons,9,21,31,0
BillsBills,9,19,31,0
LionsLions,9,21,31,0
PackersPackers,9,18,31,0
SeahawksSeahawks,8,26,36,0
PanthersPanthers,7,19,28,0
BrownsBrowns,7,15,24,0
DolphinsDolphins,7,16,25,0
BuccaneersBuccaneers,6,14,23,0
RaidersRaiders,5,7,14,0
