Team,Rsh TD,Rec TD,Tot TD,2-PT
RamsRams,20,37,61,1
SteelersSteelers,17,16,35,0
BuccaneersBuccaneers,17,13,34,1
ColtsColts,16,27,46,1
ChiefsChiefs,16,17,34,1
49ers49ers,16,32,50,0
PatriotsPatriots,15,21,43,0
SeahawksSeahawks,15,15,33,0
RaidersRaiders,14,27,45,1
DolphinsDolphins,14,20,40,1
ChargersChargers,13,16,33,0
BearsBears,12,20,35,1
TitansTitans,12,23,38,0
RavensRavens,11,18,30,0
BengalsBengals,11,12,24,0
PackersPackers,11,32,46,0
JaguarsJaguars,11,20,32,0
GiantsGiants,11,19,31,2
JetsJets,11,17,32,0
VikingsVikings,10,23,34,2
CardinalsCardinals,10,18,31,1
RedskinsRedskins,10,13,25,1
FalconsFalcons,9,19,29,0
BillsBills,9,18,31,0
PanthersPanthers,9,12,26,0
BrownsBrowns,8,18,30,1
CowboysCowboys,8,14,26,0
LionsLions,8,18,29,1
SaintsSaints,8,27,35,0
BroncosBroncos,7,26,35,1
EaglesEagles,6,27,36,0
