Team,INT,INT TD,INT Yds,Lng
PatriotsPatriots,25,3,353,69
SteelersSteelers,20,1,235,96T
PackersPackers,17,0,177,39
VikingsVikings,17,1,95,21T
ChiefsChiefs,16,1,141,46T
SeahawksSeahawks,16,2,161,55
ColtsColts,15,1,167,80T
BillsBills,14,0,59,49
PanthersPanthers,14,0,141,37
BrownsBrowns,14,1,219,61T
TitansTitans,14,1,158,38T
RavensRavens,13,2,259,89T
RamsRams,13,2,137,32
DolphinsDolphins,13,1,190,35T
SaintsSaints,13,2,140,55
RedskinsRedskins,13,0,106,33
FalconsFalcons,12,1,130,27T
TexansTexans,12,2,302,86
JetsJets,12,3,138,61
49ers49ers,12,3,286,49
BuccaneersBuccaneers,12,2,201,70
BengalsBengals,11,0,181,34
EaglesEagles,11,1,159,51T
ChargersChargers,11,0,74,37
BearsBears,10,1,157,59
BroncosBroncos,10,0,87,24
JaguarsJaguars,10,1,132,35T
GiantsGiants,10,1,171,62T
RaidersRaiders,9,2,214,59
CowboysCowboys,7,0,83,29
LionsLions,7,0,76,55
CardinalsCardinals,7,0,82,48
