Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
BillsBills,495,1669,3.4,12,94,19.0
BroncosBroncos,345,1331,3.9,5,67,19.4
SteelersSteelers,411,1415,3.4,7,80,19.5
PanthersPanthers,374,1562,4.2,6,69,18.4
EaglesEagles,421,1583,3.8,12,87,20.7
ChiefsChiefs,441,1666,3.8,11,84,19.0
GiantsGiants,487,1748,3.6,14,98,20.1
BengalsBengals,444,1643,3.7,15,109,24.6
CowboysCowboys,437,1576,3.6,10,89,20.4
OilersOilers,397,1385,3.5,5,78,19.6
BearsBears,427,1617,3.8,13,87,20.4
BuccaneersBuccaneers,438,1889,4.3,13,114,26.0
RedskinsRedskins,520,2275,4.4,20,146,28.1
PackersPackers,400,1416,3.5,7,74,18.5
DolphinsDolphins,411,1536,3.7,10,91,22.1
RaidersRaiders,463,1676,3.6,7,97,21.0
49ers49ers,418,1497,3.6,4,76,18.2
RamsRams,478,1854,3.9,22,114,23.8
SeahawksSeahawks,506,2098,4.2,15,114,22.5
VikingsVikings,445,1966,4.4,15,117,26.3
JaguarsJaguars,447,1781,4.0,9,110,24.6
PatriotsPatriots,434,1502,3.5,14,102,23.5
ColtsColts,459,1760,3.8,12,108,23.5
RavensRavens,508,1920,3.8,18,115,22.6
ChargersChargers,431,1755,4.1,10,92,21.4
JetsJets,539,2200,4.1,19,119,22.1
CardinalsCardinals,514,1862,3.6,18,120,23.4
LionsLions,510,2007,3.9,12,126,24.7
SaintsSaints,521,2076,4.0,11,104,20.0
FalconsFalcons,473,2041,4.3,18,102,21.6
