Team,Rsh TD,Rec TD,Tot TD,2-PT
SeahawksSeahawks,20,20,43,0
BengalsBengals,19,20,40,1
ChiefsChiefs,18,18,40,0
BrownsBrowns,17,12,31,0
RavensRavens,16,27,46,1
CowboysCowboys,16,37,55,0
SaintsSaints,16,33,49,0
EaglesEagles,16,27,52,0
BroncosBroncos,15,40,57,2
RedskinsRedskins,15,18,33,0
PackersPackers,14,38,57,1
PatriotsPatriots,13,34,50,0
GiantsGiants,13,30,43,0
TexansTexans,12,22,39,0
DolphinsDolphins,12,27,41,1
VikingsVikings,12,17,34,4
FalconsFalcons,11,28,41,1
LionsLions,11,22,34,1
RamsRams,11,20,36,1
JetsJets,11,16,27,0
PanthersPanthers,10,23,36,1
SteelersSteelers,10,33,48,4
NinersNiners,10,20,32,0
ColtsColts,9,42,52,0
JaguarsJaguars,9,15,25,1
BearsBears,8,30,40,5
BillsBills,7,23,33,2
BuccaneersBuccaneers,7,21,31,0
TitansTitans,6,20,27,0
CardinalsCardinals,6,21,31,2
ChargersChargers,6,31,37,0
RaidersRaiders,4,22,27,0
