Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
RavensRavens,354,1327,3.8,11,82,23.2
SeahawksSeahawks,366,1811,5.0,9,91,24.9
PatriotsPatriots,367,1803,4.9,7,93,25.3
TexansTexans,385,1323,3.4,8,76,19.7
SaintsSaints,356,1283,3.6,12,72,20.2
BillsBills,440,1839,4.2,17,111,25.2
BearsBears,339,1280,3.8,5,67,19.8
RamsRams,386,1957,5.1,12,101,26.2
TitansTitans,429,1863,4.3,9,98,22.8
CowboysCowboys,400,1513,3.8,12,89,22.2
49ers49ers,444,1814,4.1,13,104,23.4
PanthersPanthers,384,1804,4.7,13,110,28.6
JaguarsJaguars,434,1870,4.3,16,89,20.5
RedskinsRedskins,413,1860,4.5,12,109,26.4
BrownsBrowns,459,2163,4.7,20,130,28.3
JetsJets,440,2021,4.6,16,104,23.6
ColtsColts,415,1626,3.9,12,87,21.0
LionsLions,403,1761,4.4,11,88,21.8
ChargersChargers,395,1693,4.3,11,101,25.6
EaglesEagles,332,1551,4.7,14,71,21.4
BroncosBroncos,429,1913,4.5,11,85,19.8
BuccaneersBuccaneers,426,1983,4.6,19,122,28.6
ChiefsChiefs,425,2114,5.0,19,129,30.4
RaidersRaiders,480,2249,4.7,16,108,22.5
DolphinsDolphins,485,2325,4.8,17,116,23.9
BengalsBengals,466,2204,4.7,17,125,26.8
VikingsVikings,440,1815,4.1,13,107,24.3
CardinalsCardinals,510,2479,4.9,25,139,27.2
GiantsGiants,444,1898,4.3,18,103,23.2
FalconsFalcons,409,1999,4.9,16,115,28.1
SteelersSteelers,369,1538,4.2,13,84,22.8
PackersPackers,446,1918,4.3,15,100,22.4
