Team,FF,FR,FR TD
ColtsColts,27,0,0
SaintsSaints,25,0,0
BengalsBengals,24,0,0
PatriotsPatriots,23,0,0
BillsBills,21,0,0
BearsBears,20,0,0
CardinalsCardinals,20,0,0
SteelersSteelers,20,0,0
FalconsFalcons,19,0,0
PanthersPanthers,19,0,0
EaglesEagles,19,0,0
SeahawksSeahawks,19,0,0
DolphinsDolphins,18,0,0
GiantsGiants,18,0,0
JetsJets,18,0,0
49ers49ers,18,0,0
RavensRavens,17,0,0
BroncosBroncos,17,0,0
LionsLions,17,0,0
VikingsVikings,17,0,0
BuccaneersBuccaneers,16,0,0
CowboysCowboys,15,0,0
JaguarsJaguars,14,0,0
PackersPackers,13,0,0
ChiefsChiefs,13,0,0
RamsRams,13,0,0
RedskinsRedskins,13,0,0
BrownsBrowns,12,0,0
ChargersChargers,12,0,0
TitansTitans,11,0,0
TexansTexans,11,0,0
RaidersRaiders,9,0,0
