Team,Rsh TD,Rec TD,Tot TD,2-PT
BroncosBroncos,26,32,62,0
CowboysCowboys,21,17,41,0
JaguarsJaguars,19,24,45,0
ChiefsChiefs,19,15,34,0
49ers49ers,19,41,61,0
FalconsFalcons,18,28,49,1
CardinalsCardinals,18,17,36,0
RamsRams,17,12,32,3
VikingsVikings,17,41,62,1
RedskinsRedskins,15,24,40,0
BillsBills,13,28,42,0
LionsLions,12,17,32,0
OilersOilers,12,16,30,1
JetsJets,12,33,47,0
BuccaneersBuccaneers,12,21,36,0
PanthersPanthers,11,25,40,1
ChargersChargers,11,11,23,1
SeahawksSeahawks,11,21,43,1
DolphinsDolphins,10,23,37,0
GiantsGiants,10,18,32,0
EaglesEagles,10,7,17,0
BearsBears,9,16,29,0
PatriotsPatriots,9,23,35,1
SteelersSteelers,8,13,26,0
RavensRavens,7,16,29,0
BengalsBengals,7,20,30,1
PackersPackers,7,33,44,0
ColtsColts,7,26,33,1
RaidersRaiders,6,21,33,0
SaintsSaints,6,19,31,0
