Team,INT,INT TD,INT Yds,Lng
RavensRavens,22,3,385,63
JaguarsJaguars,21,2,294,67
SaintsSaints,20,2,192,33
LionsLions,19,3,253,37
EaglesEagles,19,1,278,59
BillsBills,18,1,275,63T
RamsRams,18,3,401,69
ChargersChargers,18,2,302,90
ChiefsChiefs,16,0,201,62T
SteelersSteelers,16,0,184,41
RedskinsRedskins,16,2,194,96
CardinalsCardinals,15,1,258,82T
VikingsVikings,14,1,200,36T
SeahawksSeahawks,14,3,212,78
ColtsColts,13,1,215,33
GiantsGiants,13,2,161,53
BuccaneersBuccaneers,13,1,218,47
TitansTitans,12,0,154,33T
PatriotsPatriots,12,0,114,39T
BengalsBengals,11,3,339,101
PackersPackers,11,1,54,21
TexansTexans,11,2,144,82
JetsJets,11,0,151,48
PanthersPanthers,10,0,78,40T
CowboysCowboys,10,1,98,25
BroncosBroncos,10,2,237,103
49ers49ers,10,1,185,50
DolphinsDolphins,9,1,99,30T
FalconsFalcons,8,0,108,43T
BearsBears,8,2,253,90
BrownsBrowns,7,1,97,56
RaidersRaiders,5,0,10,8T
