Team,INT,INT TD,INT Yds,Lng
PanthersPanthers,26,2,420,97T
BillsBills,24,4,333,62
ChargersChargers,23,1,180,40
SeahawksSeahawks,23,3,337,63
TexansTexans,22,2,393,102
RavensRavens,21,5,700,106
BengalsBengals,20,4,272,51
PatriotsPatriots,20,1,290,36
FalconsFalcons,19,4,442,85
ColtsColts,19,2,252,77
JetsJets,19,2,243,66
SteelersSteelers,19,3,293,41
TitansTitans,18,1,285,44
RedskinsRedskins,18,1,405,78T
BearsBears,17,5,546,71
EaglesEagles,17,2,287,101
JaguarsJaguars,16,0,126,37
BuccaneersBuccaneers,16,1,239,75
BrownsBrowns,15,1,250,51T
DolphinsDolphins,15,0,92,47T
CardinalsCardinals,15,1,214,65T
LionsLions,14,1,216,55
GiantsGiants,14,0,113,39
CowboysCowboys,13,0,109,33
ChiefsChiefs,13,1,173,65
SaintsSaints,13,0,101,55
BroncosBroncos,12,2,175,76
VikingsVikings,11,1,207,56
RaidersRaiders,9,1,221,45
49ers49ers,9,0,129,31T
PackersPackers,8,2,165,43
RamsRams,6,0,45,30
