Team,FF,FR,FR TD
JetsJets,29,0,0
TitansTitans,23,0,0
LionsLions,22,0,0
ColtsColts,22,0,0
VikingsVikings,22,0,0
SeahawksSeahawks,22,0,0
EaglesEagles,21,0,0
ChiefsChiefs,20,0,0
CardinalsCardinals,20,0,0
RamsRams,18,0,0
PanthersPanthers,17,0,0
CowboysCowboys,17,0,0
DolphinsDolphins,17,0,0
BillsBills,15,0,0
TexansTexans,15,0,0
RaidersRaiders,15,0,0
GiantsGiants,15,0,0
PackersPackers,14,0,0
RavensRavens,13,0,0
BengalsBengals,13,0,0
PatriotsPatriots,13,0,0
ChargersChargers,13,0,0
SteelersSteelers,12,0,0
NinersNiners,12,0,0
BuccaneersBuccaneers,12,0,0
BrownsBrowns,11,0,0
JaguarsJaguars,11,0,0
RedskinsRedskins,11,0,0
FalconsFalcons,10,0,0
SaintsSaints,10,0,0
BroncosBroncos,9,0,0
BearsBears,8,0,0
