Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
LionsLions,544,346,63.6,6.6,3569,26,11,167,30.7,34
SaintsSaints,602,370,61.5,7.8,4681,31,15,236,39.2,30
CowboysCowboys,511,320,62.6,7.2,3684,22,7,195,38.2,34
PatriotsPatriots,594,369,62.1,7.3,4342,27,20,207,34.8,37
RaidersRaiders,526,347,66.0,7.2,3775,28,11,180,34.2,25
ColtsColts,535,334,62.4,7.1,3788,23,12,190,35.5,32
EaglesEagles,485,292,60.2,7.2,3470,33,8,178,36.7,30
FalconsFalcons,551,337,61.2,7.0,3878,14,20,189,34.3,29
CardinalsCardinals,497,270,54.3,6.5,3213,20,22,160,32.2,38
BroncosBroncos,559,321,57.4,5.7,3194,25,16,183,32.7,52
JaguarsJaguars,535,341,63.7,7.2,3832,21,12,194,36.3,20
SteelersSteelers,523,299,57.2,5.7,2963,19,10,169,32.3,37
BrownsBrowns,600,378,63.0,6.5,3923,27,17,203,33.8,38
BuccaneersBuccaneers,627,410,65.4,7.6,4758,30,18,226,36.0,27
RavensRavens,557,335,60.1,6.6,3650,15,13,187,33.6,37
PackersPackers,568,313,55.1,6.2,3492,24,18,191,33.6,47
RamsRams,547,362,66.2,6.6,3602,16,17,197,36.0,52
TexansTexans,581,308,53.0,6.2,3612,29,15,167,28.7,44
BengalsBengals,560,346,61.8,6.1,3400,16,14,183,32.7,51
TitansTitans,564,374,66.3,7.0,3964,31,19,210,37.2,39
GiantsGiants,534,341,63.9,7.6,4068,26,21,196,36.7,33
ChargersChargers,568,347,61.1,6.5,3681,28,14,201,35.4,38
BillsBills,536,306,57.1,6.5,3473,25,12,182,34.0,36
DolphinsDolphins,600,353,58.8,6.6,3974,18,10,215,35.8,42
JetsJets,494,266,53.8,6.2,3036,20,11,161,32.6,30
PanthersPanthers,555,371,66.8,6.4,3568,22,11,195,35.1,39
BearsBears,592,350,59.1,5.8,3423,19,24,186,31.4,41
VikingsVikings,612,391,63.9,6.4,3908,28,10,229,37.4,44
ChiefsChiefs,464,279,60.1,7.6,3533,29,7,176,37.9,27
RedskinsRedskins,636,393,61.8,7.1,4511,31,21,223,35.1,32
NinersNiners,567,337,59.4,5.6,3203,19,14,178,31.4,38
SeahawksSeahawks,564,327,58.0,5.8,3250,15,18,186,33.0,36
