Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
FalconsFalcons,0,0,0,0,162,62.3,82,20.0,940
BillsBills,0,0,0,0,208,62.6,128,25.4,1056
BearsBears,0,0,0,0,168,58.7,120,23.9,1025
BengalsBengals,0,0,0,0,162,55.9,96,21.4,993
BrownsBrowns,0,0,0,0,164,52.6,82,21.1,934
CowboysCowboys,0,0,0,0,191,62.6,89,20.6,970
BroncosBroncos,0,0,0,0,150,61.0,117,23.1,1012
LionsLions,0,0,0,0,148,58.7,116,25.6,938
PackersPackers,0,0,0,0,150,55.2,88,23.1,940
OilersOilers,0,0,0,0,236,57.4,99,29.9,1023
ColtsColts,0,0,0,0,163,53.4,55,15.5,923
ChiefsChiefs,0,0,0,0,172,60.6,127,24.4,1021
RamsRams,0,0,0,0,180,62.3,75,19.3,935
RaidersRaiders,0,0,0,0,132,60.0,96,21.5,893
DolphinsDolphins,0,0,0,0,205,62.7,91,24.0,970
VikingsVikings,0,0,0,0,158,55.6,125,26.9,970
PatriotsPatriots,0,0,0,0,155,54.6,93,21.5,977
SaintsSaints,0,0,0,0,157,53.8,93,19.2,1008
GiantsGiants,0,0,0,0,148,56.7,120,24.6,953
JetsJets,0,0,0,0,169,57.3,133,25.4,1059
EaglesEagles,0,0,0,0,142,49.8,86,19.3,1004
CardinalsCardinals,0,0,0,0,143,56.3,73,18.7,926
SteelersSteelers,0,0,0,0,158,61.0,82,20.8,915
ChargersChargers,0,0,0,0,155,57.0,114,24.6,1010
49ers49ers,0,0,0,0,197,60.6,112,25.4,986
SeahawksSeahawks,0,0,0,0,159,54.8,80,20.3,922
BuccaneersBuccaneers,0,0,0,0,147,58.8,79,21.3,922
RedskinsRedskins,0,0,0,0,179,68.6,107,19.8,998
