Team,INT,INT TD,INT Yds,Lng
NinersNiners,23,2,315,73
BrownsBrowns,21,2,333,62
BengalsBengals,20,1,161,31T
LionsLions,20,1,388,70T
TexansTexans,20,4,483,80
BillsBills,19,0,322,45
CowboysCowboys,18,2,228,58
BroncosBroncos,18,2,213,38
PackersPackers,18,3,396,82
CardinalsCardinals,18,3,321,88
GiantsGiants,17,0,236,39
FalconsFalcons,16,1,113,23T
PatriotsPatriots,16,0,184,60
PanthersPanthers,14,2,350,84
BearsBears,14,1,141,45
DolphinsDolphins,14,2,299,81
BuccaneersBuccaneers,14,3,155,33
RamsRams,13,3,276,99
VikingsVikings,13,2,201,81
SeahawksSeahawks,13,2,319,53
TitansTitans,12,1,122,34
ColtsColts,12,1,143,47
SaintsSaints,12,0,120,45
EaglesEagles,12,2,145,53
RavensRavens,11,1,135,44
SteelersSteelers,11,4,242,52
RaidersRaiders,9,0,76,30
ChargersChargers,7,0,65,27
RedskinsRedskins,7,0,38,14
JaguarsJaguars,6,1,80,55
ChiefsChiefs,6,1,95,39T
JetsJets,6,0,36,25T
