Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
CardinalsCardinals,418,4875,11.7,31,54,13,79,231,55.3,6
SaintsSaints,413,5069,12.3,34,66,16,84,232,56.2,6
ColtsColts,393,4180,10.6,27,42,7,67,220,56.0,4
BroncosBroncos,386,4545,11.8,25,55,7,93,223,57.8,5
TexansTexans,367,4474,12.2,21,60,12,65,210,57.2,5
EaglesEagles,362,4060,11.2,23,52,11,90,204,56.4,4
BuccaneersBuccaneers,355,3788,10.7,18,42,5,71,184,51.8,5
JetsJets,347,3516,10.1,22,40,7,56T,186,53.6,5
PackersPackers,343,4044,11.8,28,48,16,71,182,53.1,2
PatriotsPatriots,339,3790,11.2,21,38,6,76T,186,54.9,5
JaguarsJaguars,335,3620,10.8,15,42,1,41,182,54.3,6
DolphinsDolphins,330,3761,11.4,20,39,8,80,184,55.8,6
CowboysCowboys,328,3988,12.2,29,54,12,75,170,51.8,7
RedskinsRedskins,318,3291,10.4,14,34,3,67T,165,51.9,5
ChargersChargers,312,4009,12.8,34,48,12,67,191,61.2,4
ChiefsChiefs,310,3358,10.8,23,35,5,75T,161,51.9,1
BillsBills,309,3302,10.7,14,38,6,87,167,54.0,7
NinersNiners,309,3724,12.0,21,55,6,63T,176,57.0,5
BearsBears,304,3229,10.6,20,35,3,65,153,50.3,5
BengalsBengals,303,2677,8.8,11,21,2,79T,145,47.8,2
SteelersSteelers,303,3607,11.9,19,39,8,65T,179,59.1,7
GiantsGiants,298,3353,11.2,23,34,4,48,176,59.1,2
RamsRams,292,3268,11.2,11,41,8,80,140,48.0,5
LionsLions,281,3299,11.7,18,43,7,96,143,50.9,8
VikingsVikings,267,3217,12.0,22,40,12,99,150,56.2,5
FalconsFalcons,265,3440,13.0,16,45,9,70,157,59.2,3
TitansTitans,265,2902,11.0,13,36,5,56T,143,54.0,4
SeahawksSeahawks,262,2831,10.8,18,29,5,90,142,54.2,4
RavensRavens,261,3085,11.8,16,40,11,70,147,56.3,5
PanthersPanthers,246,3288,13.4,15,45,9,65,152,61.8,4
BrownsBrowns,238,2537,10.7,11,26,6,70T,127,53.4,4
RaidersRaiders,222,2639,11.9,13,39,5,84,123,55.4,0
