Team,INT,INT TD,INT Yds,Lng
BrownsBrowns,33,4,499,97
BuccaneersBuccaneers,28,2,419,98
PanthersPanthers,24,1,374,49
49ers49ers,24,2,330,97T
RedskinsRedskins,23,1,209,67T
BroncosBroncos,22,1,240,42T
PatriotsPatriots,22,5,422,78
RamsRams,21,4,369,93
BearsBears,20,3,372,67
PackersPackers,20,2,344,69
JetsJets,20,2,390,63
ChargersChargers,19,1,162,37T
FalconsFalcons,18,0,154,33
RaidersRaiders,17,2,306,39T
DolphinsDolphins,17,5,412,100
CardinalsCardinals,17,3,294,61
RavensRavens,16,1,195,64T
LionsLions,16,3,217,74
SteelersSteelers,16,2,270,62
ColtsColts,15,1,158,30T
SaintsSaints,15,0,209,40
GiantsGiants,15,1,129,34T
EaglesEagles,14,2,152,50
SeahawksSeahawks,14,2,186,55
BengalsBengals,13,1,192,66T
TitansTitans,13,0,78,36
ChiefsChiefs,13,1,166,51T
JaguarsJaguars,12,0,83,39
BillsBills,11,3,139,48
CowboysCowboys,9,3,191,71
VikingsVikings,8,1,47,27T
