Team,Rsh TD,Rec TD,Tot TD,2-PT
VikingsVikings,22,12,41,3
ColtsColts,19,32,53,1
ChargersChargers,19,22,46,0
JaguarsJaguars,18,28,49,1
TitansTitans,17,9,28,0
PatriotsPatriots,17,50,72,1
GiantsGiants,15,23,42,0
BuccaneersBuccaneers,15,18,35,0
RedskinsRedskins,15,18,35,0
CowboysCowboys,14,36,53,0
DolphinsDolphins,14,12,28,1
SaintsSaints,14,28,45,4
BrownsBrowns,13,29,46,0
LionsLions,13,19,36,0
PackersPackers,13,30,46,0
TexansTexans,12,24,40,2
EaglesEagles,12,24,38,0
RavensRavens,11,13,28,0
RaidersRaiders,11,17,30,0
BengalsBengals,10,26,39,1
BroncosBroncos,10,21,32,0
CardinalsCardinals,9,32,49,0
SteelersSteelers,9,34,46,0
SeahawksSeahawks,9,30,43,0
BillsBills,8,12,24,1
BearsBears,8,18,34,0
NinersNiners,8,15,23,0
FalconsFalcons,7,18,25,0
PanthersPanthers,7,19,27,0
ChiefsChiefs,6,17,23,1
JetsJets,6,15,25,0
RamsRams,5,19,27,0
