Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
TexansTexans,551,2161,3.9,12,11,4,51,108,19.6,6
SeahawksSeahawks,525,2762,5.3,20,17,6,79,144,27.4,9
CowboysCowboys,508,2354,4.6,16,19,5,65T,106,20.9,9
JetsJets,507,2280,4.5,11,10,2,71,112,22.1,10
BengalsBengals,492,2147,4.4,19,14,4,89,122,24.8,8
BrownsBrowns,477,1728,3.6,17,10,0,36,88,18.4,7
EaglesEagles,474,1992,4.2,16,12,2,53,109,23.0,10
PanthersPanthers,473,2036,4.3,10,7,1,69,117,24.7,9
NinersNiners,470,2176,4.6,10,14,2,90,104,22.1,10
GiantsGiants,449,1603,3.6,13,4,2,50,83,18.5,1
RavensRavens,448,2019,4.5,16,24,3,52T,113,25.2,6
BroncosBroncos,443,1785,4.0,15,13,1,47T,98,22.1,6
PatriotsPatriots,438,1727,3.9,13,7,1,43,96,21.9,1
PackersPackers,435,1917,4.4,14,11,2,44,104,23.9,7
SteelersSteelers,423,1752,4.1,10,9,3,81,98,23.2,7
ChiefsChiefs,420,1918,4.6,18,12,3,63,92,21.9,9
ColtsColts,415,1612,3.9,9,7,1,49,80,19.3,10
VikingsVikings,413,1804,4.4,12,11,3,67T,90,21.8,3
SaintsSaints,406,1818,4.5,16,10,2,67T,101,24.9,6
BillsBills,402,1482,3.7,7,7,3,53,65,16.2,5
RedskinsRedskins,401,1691,4.2,15,11,0,30,88,22.0,9
DolphinsDolphins,399,1872,4.7,12,13,2,97T,99,24.8,8
ChargersChargers,398,1367,3.4,6,6,1,52T,75,18.8,5
CardinalsCardinals,397,1308,3.3,6,6,0,22T,67,16.9,4
LionsLions,396,1422,3.6,11,6,1,57T,72,18.2,7
RamsRams,395,1635,4.1,11,7,1,89,79,20.0,7
FalconsFalcons,372,1498,4.0,11,7,2,55,75,20.2,4
JaguarsJaguars,360,1633,4.5,9,15,2,62T,86,23.9,6
TitansTitans,356,1447,4.1,6,7,1,52,75,21.1,5
BearsBears,355,1441,4.1,8,5,0,32,91,25.6,6
BuccaneersBuccaneers,353,1375,3.9,7,8,3,63,72,20.4,5
RaidersRaiders,337,1240,3.7,4,6,2,90,56,16.6,10
