Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
PanthersPanthers,364,1415,3.9,11,74,20.3
BillsBills,394,1730,4.4,10,87,22.1
SeahawksSeahawks,362,1304,3.6,10,71,19.6
VikingsVikings,411,1748,4.2,7,94,22.9
TexansTexans,388,1597,4.1,10,79,20.4
BearsBears,433,1934,4.5,9,103,23.8
BengalsBengals,344,1477,4.3,8,74,21.5
BuccaneersBuccaneers,466,1606,3.4,12,104,22.3
CardinalsCardinals,373,1460,3.9,9,79,21.2
JetsJets,373,1335,3.6,4,62,16.6
EaglesEagles,478,2153,4.5,10,100,20.9
PackersPackers,420,1905,4.5,13,96,22.9
ChiefsChiefs,383,1571,4.1,7,86,22.4
RamsRams,453,1820,4.0,7,98,21.6
RedskinsRedskins,406,1962,4.8,10,103,25.4
FalconsFalcons,416,1680,4.0,20,107,25.7
BroncosBroncos,408,1337,3.3,10,81,19.8
CowboysCowboys,461,1934,4.2,16,113,24.5
GiantsGiants,444,1942,4.4,15,104,23.4
SaintsSaints,421,2071,4.9,12,103,24.5
ColtsColts,452,1952,4.3,14,89,19.7
ChargersChargers,417,2005,4.8,17,101,24.2
NinersNiners,504,2020,4.0,20,128,25.4
SteelersSteelers,382,1459,3.8,6,71,18.6
RavensRavens,418,1661,4.0,10,80,19.1
PatriotsPatriots,397,1580,4.0,8,77,19.4
BrownsBrowns,458,2055,4.5,11,104,22.7
TitansTitans,462,1797,3.9,11,101,21.9
RaidersRaiders,406,1678,4.1,12,94,23.2
LionsLions,428,1808,4.2,18,96,22.4
JaguarsJaguars,464,1709,3.7,15,102,22.0
DolphinsDolphins,502,2019,4.0,13,112,22.3
