Team,INT,INT TD,INT Yds,Lng
PackersPackers,30,3,477,67T
BillsBills,28,2,335,76
SaintsSaints,26,5,652,99
EaglesEagles,25,2,370,83
RavensRavens,22,2,346,52
PanthersPanthers,22,1,235,41T
CardinalsCardinals,21,1,338,80T
TitansTitans,20,4,433,80T
BengalsBengals,19,2,259,45T
BuccaneersBuccaneers,19,2,275,36T
PatriotsPatriots,18,3,327,91
NinersNiners,18,1,237,51T
BroncosBroncos,17,0,171,37
JetsJets,17,1,247,67T
ColtsColts,16,2,167,35
FalconsFalcons,15,1,158,62T
JaguarsJaguars,15,0,208,37
ChiefsChiefs,15,2,380,94
DolphinsDolphins,15,1,164,29
TexansTexans,14,1,212,70T
ChargersChargers,14,1,173,34T
BearsBears,13,1,144,39T
GiantsGiants,13,2,221,49
SeahawksSeahawks,13,2,164,65T
SteelersSteelers,12,2,189,82
CowboysCowboys,11,1,33,27T
VikingsVikings,11,0,43,36
RedskinsRedskins,11,0,185,44
BrownsBrowns,10,0,161,47
LionsLions,9,2,210,101
RamsRams,8,1,102,36T
RaidersRaiders,8,0,35,20
