Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
OilersOilers,573,373,65.1,7.4,4231,27,23,86.1,217,37.9,49,8,72,32,202
DolphinsDolphins,563,332,59.0,7.4,4148,24,17,83.6,194,34.5,45,12,62T,28,173
FalconsFalcons,548,336,61.3,7.1,3892,33,15,91.4,193,35.2,48,6,89,40,259
ColtsColts,546,305,55.9,6.6,3584,13,26,64.1,174,31.9,44,4,81T,44,318
PackersPackers,527,340,64.5,6.6,3498,20,15,84.3,171,32.4,31,9,76T,43,268
CardinalsCardinals,517,298,57.6,6.5,3344,15,24,67.4,161,31.1,36,10,72T,36,258
BuccaneersBuccaneers,511,299,58.5,6.6,3399,17,20,73.3,165,32.3,43,5,81,45,334
BillsBills,509,293,57.6,7.2,3678,23,21,78.0,192,37.7,42,9,65T,29,221
ChargersChargers,496,282,56.8,7.3,3614,16,21,72.9,161,32.5,43,11,67T,33,268
RamsRams,495,289,58.4,6.9,3422,23,20,78.2,174,35.2,39,6,67T,26,204
JetsJets,495,251,50.7,6.0,2962,12,24,57.2,137,27.7,36,4,55T,39,283
CowboysCowboys,491,314,64.0,7.3,3597,23,15,88.8,183,37.3,40,8,87T,23,112
RedskinsRedskins,485,272,56.1,6.9,3339,15,17,73.2,160,33.0,41,10,62,23,176
49ers49ers,480,319,66.5,8.4,4054,29,9,105.0,192,40.0,61,10,80T,32,174
BearsBears,479,266,55.5,7.0,3334,17,24,68.3,157,32.8,39,10,83,45,264
SeahawksSeahawks,476,230,48.3,4.9,2323,9,23,48.8,114,24.0,21,1,57,67,545
BroncosBroncos,473,258,54.6,7.0,3312,16,29,62.4,135,28.5,45,11,81,52,382
RaidersRaiders,471,233,49.5,6.3,2950,20,23,63.2,139,29.5,34,7,68T,48,360
VikingsVikings,458,258,56.3,6.9,3162,18,15,77.2,157,34.3,42,7,60,40,293
PatriotsPatriots,444,244,55.0,5.6,2492,13,19,63.2,130,29.3,26,3,65,65,458
BengalsBengals,435,227,52.2,5.2,2284,16,17,63.4,114,26.2,20,1,83,45,341
GiantsGiants,433,232,53.6,6.1,2628,14,10,73.2,119,27.5,38,3,46,45,284
SteelersSteelers,431,249,57.8,7.1,3046,15,14,77.7,143,33.2,39,7,51,40,296
EaglesEagles,429,255,59.4,7.1,3054,20,13,84.2,138,32.2,39,11,75,64,462
SaintsSaints,426,251,58.9,7.7,3297,19,16,82.6,155,36.4,48,8,72T,15,119
ChiefsChiefs,413,230,55.7,7.5,3115,15,12,79.9,134,32.4,44,11,77T,48,323
LionsLions,406,231,56.9,7.8,3150,16,21,73.4,133,32.8,35,13,78,59,354
BrownsBrowns,398,238,59.8,7.8,3102,18,16,82.7,141,35.4,39,12,69,34,217
