Team,FR TD,SFTY,INT TD
FalconsFalcons,0,0,3
RavensRavens,0,0,4
BillsBills,0,1,2
PanthersPanthers,0,0,3
BearsBears,0,0,1
BengalsBengals,0,0,0
BrownsBrowns,0,0,1
CowboysCowboys,0,2,2
BroncosBroncos,0,0,1
LionsLions,0,0,1
PackersPackers,0,0,2
TitansTitans,0,1,3
TexansTexans,0,0,1
ColtsColts,0,0,2
JaguarsJaguars,0,0,0
ChiefsChiefs,0,0,3
RamsRams,0,1,3
RaidersRaiders,0,0,2
DolphinsDolphins,0,1,2
VikingsVikings,0,0,4
PatriotsPatriots,0,0,5
SaintsSaints,0,1,2
GiantsGiants,0,0,2
JetsJets,0,0,0
EaglesEagles,0,0,1
CardinalsCardinals,0,0,1
SteelersSteelers,0,0,2
ChargersChargers,0,0,1
49ers49ers,0,1,1
SeahawksSeahawks,0,1,0
BuccaneersBuccaneers,0,0,3
RedskinsRedskins,0,1,0
