Team,Rsh TD,Rec TD,Tot TD,2-PT
PanthersPanthers,30,15,45,1
TitansTitans,24,13,41,0
FalconsFalcons,23,16,43,0
PatriotsPatriots,21,21,43,0
RavensRavens,20,16,41,0
SaintsSaints,20,34,57,0
JetsJets,20,22,46,1
GiantsGiants,19,23,45,0
DolphinsDolphins,18,20,40,0
JaguarsJaguars,17,15,34,0
BillsBills,16,14,35,0
TexansTexans,16,21,40,0
SteelersSteelers,16,19,37,0
BearsBears,15,20,40,0
BroncosBroncos,15,25,40,1
VikingsVikings,15,22,39,0
EaglesEagles,15,23,42,0
CardinalsCardinals,14,31,50,1
ColtsColts,13,27,43,1
ChargersChargers,13,34,50,0
BuccaneersBuccaneers,13,18,37,0
CowboysCowboys,12,29,43,0
RedskinsRedskins,12,14,27,0
PackersPackers,11,28,47,0
LionsLions,10,18,28,0
NinersNiners,10,21,36,0
SeahawksSeahawks,10,18,31,0
ChiefsChiefs,9,23,34,0
RaidersRaiders,9,13,27,0
RamsRams,8,11,19,0
BengalsBengals,6,11,18,0
BrownsBrowns,6,11,20,0
