Team,FR TD,SFTY,INT TD
JaguarsJaguars,5,0,2
EaglesEagles,4,0,1
ChiefsChiefs,3,0,0
BuccaneersBuccaneers,3,0,1
FalconsFalcons,2,0,0
RavensRavens,2,0,3
BillsBills,2,0,1
BroncosBroncos,2,0,2
LionsLions,2,0,3
TexansTexans,2,0,2
DolphinsDolphins,2,1,1
PanthersPanthers,1,0,0
BearsBears,1,1,2
PackersPackers,1,0,1
TitansTitans,1,0,0
SaintsSaints,1,0,2
CardinalsCardinals,1,0,1
ChargersChargers,1,0,2
SeahawksSeahawks,1,2,3
BengalsBengals,0,0,3
BrownsBrowns,0,0,1
CowboysCowboys,0,0,1
ColtsColts,0,2,1
RamsRams,0,1,3
RaidersRaiders,0,0,0
VikingsVikings,0,0,1
PatriotsPatriots,0,2,0
GiantsGiants,0,0,2
JetsJets,0,0,0
SteelersSteelers,0,0,0
49ers49ers,0,0,1
RedskinsRedskins,0,0,2
