Team,INT,INT TD,INT Yds,Lng
49ers49ers,26,5,425,86
VikingsVikings,25,2,326,45
LionsLions,22,0,270,39
RamsRams,22,2,245,31
SteelersSteelers,22,3,361,63
PanthersPanthers,21,2,319,96
OilersOilers,21,4,317,98
CowboysCowboys,19,4,261,65
EaglesEagles,19,1,239,37T
CardinalsCardinals,19,4,259,72
FalconsFalcons,18,2,304,71T
BillsBills,17,2,233,69
BrownsBrowns,17,2,230,36T
SaintsSaints,17,1,195,47T
JetsJets,17,3,261,49
ChargersChargers,17,1,220,99T
BearsBears,16,1,146,37T
ChiefsChiefs,16,2,303,74
GiantsGiants,16,2,269,75
SeahawksSeahawks,16,0,127,26
RedskinsRedskins,16,2,250,51T
PatriotsPatriots,15,0,143,45
DolphinsDolphins,14,1,161,69T
BuccaneersBuccaneers,14,1,137,40T
PackersPackers,13,0,253,76
ColtsColts,13,1,248,97T
JaguarsJaguars,13,1,155,48T
BengalsBengals,12,1,175,61T
RaidersRaiders,11,2,110,42
BroncosBroncos,8,0,114,36
