Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
SteelersSteelers,402,1376,3.4,10,75,18.7
BroncosBroncos,344,1363,4.0,10,82,23.8
FalconsFalcons,438,2063,4.7,18,122,27.8
RedskinsRedskins,411,1686,4.1,15,74,18.0
CowboysCowboys,414,1731,4.2,13,87,21.0
ChiefsChiefs,383,1570,4.1,11,84,21.9
SeahawksSeahawks,420,1510,3.6,5,78,18.6
JaguarsJaguars,434,1709,3.9,4,79,18.2
BearsBears,443,1637,3.7,9,83,18.7
PanthersPanthers,408,1465,3.6,9,72,17.6
GiantsGiants,428,1656,3.9,12,83,19.4
ColtsColts,398,1762,4.4,9,91,22.9
ChargersChargers,386,1349,3.5,14,90,23.3
BengalsBengals,429,1850,4.3,16,109,25.4
BuccaneersBuccaneers,438,1515,3.5,10,75,17.1
RavensRavens,431,1591,3.7,8,79,18.3
DolphinsDolphins,480,1771,3.7,11,94,19.6
PatriotsPatriots,437,1580,3.6,11,94,21.5
TexansTexans,506,2303,4.6,21,123,24.3
BillsBills,489,2205,4.5,22,146,29.9
49ers49ers,486,1832,3.8,19,115,23.7
SaintsSaints,503,2145,4.3,16,103,20.5
LionsLions,488,2040,4.2,15,109,22.3
PackersPackers,504,2010,4.0,10,107,21.2
TitansTitans,449,1894,4.2,12,89,19.8
BrownsBrowns,527,2202,4.2,11,116,22.0
JetsJets,554,2185,3.9,19,136,24.6
VikingsVikings,462,1841,4.0,14,96,20.8
RamsRams,459,2178,4.8,22,116,25.3
EaglesEagles,506,1883,3.7,15,91,18.0
RaidersRaiders,507,2049,4.0,18,100,19.7
CardinalsCardinals,411,1632,4.0,22,83,20.2
