Team,FR TD,SFTY,INT TD
FalconsFalcons,2,0,3
BillsBills,2,0,1
PanthersPanthers,2,1,1
VikingsVikings,2,1,2
GiantsGiants,2,0,1
ChargersChargers,2,0,3
RavensRavens,1,0,0
BearsBears,1,1,1
BroncosBroncos,1,0,3
TitansTitans,1,0,0
ColtsColts,1,0,0
ChiefsChiefs,1,0,4
RamsRams,1,0,0
CardinalsCardinals,1,2,2
SteelersSteelers,1,0,0
SeahawksSeahawks,1,0,0
BengalsBengals,0,0,0
BrownsBrowns,0,0,1
CowboysCowboys,0,0,0
LionsLions,0,1,1
PackersPackers,0,0,0
TexansTexans,0,0,1
JaguarsJaguars,0,0,1
RaidersRaiders,0,0,1
DolphinsDolphins,0,0,1
PatriotsPatriots,0,2,0
SaintsSaints,0,1,0
JetsJets,0,0,0
EaglesEagles,0,0,3
49ers49ers,0,0,0
BuccaneersBuccaneers,0,0,4
RedskinsRedskins,0,0,0
