Team,INT,INT TD,INT Yds,Lng
DolphinsDolphins,18,0,146,29
PatriotsPatriots,18,1,162,43
SaintsSaints,18,1,196,48
SteelersSteelers,18,3,169,37
ChiefsChiefs,16,2,259,50
Football TeamFootball Team,16,2,136,76
BillsBills,15,2,184,51
TitansTitans,15,0,189,68
ColtsColts,15,4,266,50
VikingsVikings,15,0,65,16
BuccaneersBuccaneers,15,1,171,37
RamsRams,14,3,266,84
SeahawksSeahawks,14,0,106,32T
FalconsFalcons,12,1,204,67
JaguarsJaguars,12,1,200,53
ChargersChargers,12,2,217,78
49ers49ers,12,1,123,51
BengalsBengals,11,0,84,30
BrownsBrowns,11,2,214,50
PackersPackers,11,1,98,24T
GiantsGiants,11,1,101,46
CardinalsCardinals,11,0,129,90
RavensRavens,10,0,78,25
BearsBears,10,0,81,33
CowboysCowboys,10,0,108,43T
BroncosBroncos,10,0,130,46T
RaidersRaiders,10,0,156,47T
JetsJets,10,1,134,35
EaglesEagles,8,1,101,30
PanthersPanthers,7,0,110,66
LionsLions,7,0,65,36
TexansTexans,3,1,19,19
