Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
OilersOilers,411,4804,11.7,24,60,8,68,236,57.4,9
BillsBills,332,4140,12.5,39,51,10,77,208,62.6,4
DolphinsDolphins,327,4077,12.5,26,44,6,54,205,62.7,5
49ers49ers,325,4167,12.8,29,49,13,97,197,60.6,3
BrownsBrowns,312,3547,11.4,19,43,9,71,164,52.6,1
CowboysCowboys,305,3663,12.0,16,47,5,66T,191,62.6,10
ColtsColts,305,3066,10.0,10,33,2,49T,163,53.4,5
JetsJets,295,3429,11.6,12,44,4,53T,169,57.3,3
SaintsSaints,292,3419,11.7,20,41,8,65,157,53.8,5
BengalsBengals,290,3413,11.8,14,42,9,53,162,55.9,4
SeahawksSeahawks,290,3371,11.6,15,35,6,60T,159,54.8,6
RamsRams,289,3610,12.5,13,44,4,78,180,62.3,7
BearsBears,286,3292,11.5,16,34,5,84,168,58.7,6
EaglesEagles,285,3169,11.1,17,38,7,75,142,49.8,9
ChiefsChiefs,284,3281,11.6,19,32,6,63T,172,60.6,4
VikingsVikings,284,3016,10.6,16,31,6,50,158,55.6,4
PatriotsPatriots,284,3442,12.1,11,46,7,60,155,54.6,6
PackersPackers,272,3213,11.8,17,41,2,75,150,55.2,7
ChargersChargers,272,2983,11.0,13,29,5,58T,155,57.0,3
GiantsGiants,261,3025,11.6,13,39,5,55,148,56.7,5
RedskinsRedskins,261,3771,14.4,30,52,15,82,179,68.6,2
FalconsFalcons,260,3634,14.0,30,51,11,80,162,62.3,3
SteelersSteelers,259,3313,12.8,20,40,8,89,158,61.0,5
CardinalsCardinals,254,3039,12.0,10,32,6,62,143,56.3,4
LionsLions,252,2974,11.8,16,29,3,73,148,58.7,2
BuccaneersBuccaneers,250,2955,11.8,13,32,2,87,147,58.8,4
BroncosBroncos,246,3310,13.5,13,50,9,71,150,61.0,4
RaidersRaiders,220,2977,13.5,20,41,10,80,132,60.0,3
